S,Channel,0,1,2,3
0,0,,,,
0,1,,,,
0,2,,,,
0,3,,,,
0,4,,,,
0,5,,,,
0,6,,,,
0,7,,,,
0,8,,,,
0,9,,,,
0,10,,,,
0,11,,,,
0,12,,,,
0,13,,,,
0,14,,,,
0,15,,,,
0,16,-0.015494375861673286,0.003994055024472215,0.00041852054795002045,0.003809580567561547
0,17,-0.014776512287451535,-0.011524099314883414,0.016432643704517153,0.009720489116220359
0,18,0.025685870380290667,0.006299901068616018,-0.0030042494227416248,-0.0033607316297781012
0,19,-0.00446431942871654,-0.010212522370770027,-0.02055486409822384,0.030286014468034694
0,20,-0.011442511121221174,-0.020538501847249747,-0.003458609417278321,-0.006470119252491944
0,21,0.0004940821444883519,-0.008304860963185272,0.0021761124929150846,-0.007424747413144072
0,22,,,,
0,23,-0.006813071816595186,-0.005370910558617101,-0.0006275193774335607,0.01783622354665797
0,24,,,,
0,25,,,,
0,26,,,,
0,27,,,,
0,28,,,,
0,29,,,,
0,30,0.024909828366178336,0.005229280463757897,0.015206432793350932,0.013881339965218027
0,31,,,,
0,32,,,,
0,33,,,,
0,34,,,,
0,35,-0.0005143284987657439,-0.004220776927118702,0.0007406041239977255,-0.004202865733163268
0,36,,,,
0,37,,,,
0,38,,,,
0,39,-0.01225894082510942,0.0015669808735696397,0.006452657349716066,-0.003178376007317534
0,40,-0.0043775112520730705,-0.006977814743909296,0.004152988671886471,-0.008144555747178324
0,41,-0.004541923342250781,-0.011137067089567658,-0.0037342797354276962,-0.00821532577878008
0,42,-0.01481874542397878,-0.00766921644641117,-0.008623011660134088,-0.023022578577443897
0,43,,,,
0,44,,,,
0,45,,,,
0,46,,,,
0,47,,,,
0,48,,,,
0,49,,,,
0,50,,,,
0,51,,,,
0,52,,,,
0,53,,,,
0,54,,,,
0,55,,,,
0,56,,,,
0,57,,,,
0,58,,,,
0,59,,,,
0,60,,,,
0,61,,,,
0,62,,,,
0,63,0.017392965319567966,0.0035283145780869224,0.024590886632815202,0.025876634444977856
0,64,,,,
0,65,,,,
0,66,0.04343431699600011,-0.003531849921131256,0.027396794274133204,0.040679213265001214
0,67,,,,
0,68,,,,
0,69,0.04504080417557506,0.01388249861306297,0.029163267581868442,0.032328896385542226
0,70,,,,
0,71,,,,
0,72,0.015934407589155864,0.0031374326815703517,0.011443086417339725,0.01687466321705259
0,73,,,,
0,74,,,,
0,75,,,,
0,76,,,,
0,77,,,,
0,78,,,,
0,79,-0.006098267524261319,0.004443562312644453,0.000225047947366312,-0.007505257560533989
0,80,,,,
0,81,-4.965535007992384e-05,0.0026924516581747666,0.0004530030443483028,-0.0023015062567849163
0,82,,,,
0,83,-0.0102558532673938,0.006259127210197047,-0.0001976989436312023,-0.018583479841821012
0,84,-0.0014753424078416287,-0.00708775203318342,0.005480716047572029,-0.013220966713674271
0,85,0.008775088215981275,-0.006133653640146892,-0.003964640484434299,-0.0019366801033509021
0,86,0.008894441016872479,-0.0028330259226563236,0.007258200562860243,0.005010825646169967
0,87,0.0030810556594067307,0.001147370722215036,0.005293068172151707,0.014850705169882157
0,88,,,,
0,89,,,,
0,90,0.006692415857852013,0.002790172403875695,0.002656692800388718,0.0009691805279803109
0,91,0.010851972787009789,-0.005936540191257246,0.011543795721582503,0.00942179363722995
0,92,,,,
0,93,,,,
0,94,,,,
0,95,,,,
0,96,,,,
0,97,,,,
0,98,,,,
0,99,-0.018153213901020534,0.003523633286663739,-0.0006458393116597169,0.003945747465115286
0,100,,,,
1,0,0.007726446727258318,0.0006554799541362366,0.003972392112444164,0.0037478668696937366
1,1,,,,
1,2,-0.010507859384700252,-0.014602862901719738,-0.0205744066339985,-0.010489668911423793
1,3,,,,
1,4,,,,
1,5,-0.005030580693797616,-0.0013179664691805356,0.0015983903768076162,0.009453008030023266
1,6,-0.012146445748943439,0.017997813655170388,0.009584875230939954,0.01704711352952513
1,7,,,,
1,8,0.0064469519980567755,0.012772426012123153,0.01571173648492219,0.017094806974128157
1,9,-0.0028387589563321847,-0.001994959349323756,-0.006219692791973287,-0.000956961221305466
1,10,,,,
1,11,-0.01895430679855484,-0.009344149699709658,-0.005329842547933161,-0.010584383530766758
1,12,-0.0008618312696762981,0.008046945725338742,0.012839635671746107,0.016582351606668978
1,13,-0.006238702239557364,-0.005205650018396701,0.0077910020156119605,0.006506368458051091
1,14,,,,
