# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: mild-2
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Times
505,1,2024-02-14,1,1,side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0/0_side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0.wav,
505,1,2024-02-14,1,7,side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0/0_side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0.wav,
505,1,2024-02-14,1,17,side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0/0_side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0.wav,
505,1,2024-02-14,1,14,side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0/0_side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0.wav,0.0,0.0
505,1,2024-02-14,1,11,side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0/0_side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0.wav,0.0,0.0,0.0,0.0,0.0
505,1,2024-02-14,1,12,side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0/0_side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0.wav,10.992598878232913,27.618955699398484,57.4416695533571,74.67521781277723,84.46168875033838
505,2,2024-02-14,2,15,side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0/0_side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0.wav,16.232974946611623,44.75481276411064
505,1,2024-02-14,1,17,side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0/0_side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0.wav,
505,2,2024-02-14,2,8,side=l_masker=speech_itd=0_ild=0_az=20_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=20_mag=0_control=0/0_side=l_masker=speech_itd=0_ild=0_az=20_mag=0_control=0.wav,
505,3,2024-02-14,3,3,side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0/0_side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0.wav,
505,4,2024-02-14,4,10,side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0/0_side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0.wav,
505,5,2024-02-14,5,13,side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0/0_side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0.wav,
505,6,2024-02-14,6,6,side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0/0_side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0.wav,
505,7,2024-02-14,7,12,side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0/0_side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0.wav,
505,8,2024-02-14,8,2,side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0/0_side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0.wav,
505,9,2024-02-14,9,11,side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0/0_side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0.wav,
505,10,2024-02-14,10,5,side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0/0_side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0.wav,
505,11,2024-02-14,11,1,side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0/0_side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0.wav,
505,12,2024-02-14,12,7,side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0/0_side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0.wav,
505,13,2024-02-14,13,15,side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0/0_side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0.wav,
505,14,2024-02-14,14,16,side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0/0_side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0.wav,
505,15,2024-02-14,15,18,side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0/0_side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0.wav,
505,16,2024-02-14,16,4,side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0/0_side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0.wav,
505,17,2024-02-14,17,9,side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0/0_side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0.wav,
505,18,2024-02-14,18,14,side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0/0_side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0.wav,
505,19,2024-02-14,19,9,side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0/1_side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0.wav,
505,20,2024-02-14,20,18,side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0/1_side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0.wav,
505,21,2024-02-14,21,7,side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0/1_side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0.wav,
505,22,2024-02-14,22,14,side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0/1_side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0.wav,
505,23,2024-02-14,23,17,side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0/1_side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0.wav,
505,24,2024-02-14,24,13,side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0/1_side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0.wav,
505,25,2024-02-14,25,6,side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0/1_side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0.wav,
505,26,2024-02-14,26,1,side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0/1_side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0.wav,
505,27,2024-02-14,27,3,side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0/1_side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0.wav,
505,28,2024-02-14,28,8,side=l_masker=speech_itd=0_ild=0_az=20_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=20_mag=0_control=0/1_side=l_masker=speech_itd=0_ild=0_az=20_mag=0_control=0.wav,
505,29,2024-02-14,29,5,side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0/1_side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0.wav,
505,30,2024-02-14,30,2,side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0/1_side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0.wav,
505,31,2024-02-14,31,15,side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0/1_side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0.wav,
505,32,2024-02-14,32,10,side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0/1_side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0.wav,
505,33,2024-02-14,33,11,side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0/1_side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0.wav,
505,34,2024-02-14,34,4,side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0/1_side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0.wav,
