S,Trig,Condition
CDARHUC984HJ,4,side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0
CDARHUC984HJ,5,side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0
CDARHUC984HJ,6,side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0
CDARHUC984HJ,7,side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0
CDARHUC984HJ,8,side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0
CDARHUC984HJ,9,side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0
CDARHUC984HJ,10,side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0
CDARHUC984HJ,11,side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0
CDARHUC984HJ,1,Inhale
CDARHUC984HJ,2,Exhale
CDARHUC984HJ,3,Hold_Breath
CDARHUC984HJ,4,side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0
CDARHUC984HJ,5,side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0
CDARHUC984HJ,6,side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0
CDARHUC984HJ,7,side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0
CDARHUC984HJ,8,side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0
CDARHUC984HJ,9,side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0
CDARHUC984HJ,10,side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0
CDARHUC984HJ,11,side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0
