Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,hat,3.0,shoe,3.1,desks,4.0,toy,4.3,shoe,4.9,red,6.0,hat,6.0,chairs,6.7,shoe,7.3,glove,8.0,shoe,8.5,pen,9.1,tables,9.7,shoe,10.3,desks,11.0,blue,11.5,shoe,12.1,blue,13.0
practice,0,Masker,none,2.5,none,3.25,none,3.7,none,4.45,none,5.05,none,5.5,none,6.1,none,6.85,none,7.45,none,7.9,none,8.65,none,9.25,none,9.85,none,10.45,none,10.9,none,11.65,none,12.25,none,12.7
practice,1,Target,tables,3.0,card,3.1,red,3.7,pen,4.0,toy,5.0,sock,6.0,card,6.0,sock,6.7,shoe,7.3,glove,7.9,green,8.5,pen,9.0,green,10.0,spoons,10.0,shoe,10.9,sock,11.5,toy,12.0,shoe,12.7
practice,1,Masker,none,2.5,none,3.25,none,3.85,none,4.3,none,4.9,none,5.5,none,6.1,none,6.85,none,7.45,none,8.05,none,8.65,none,9.1,none,9.7,none,10.3,none,11.05,none,11.65,none,12.1,none,12.85
practice,2,Target,hat,2.5,card,3.0,tables,3.7,card,4.3,pen,5.0,white,5.5,chairs,6.0,red,7.0,shoe,7.3,chairs,8.0,hat,8.5,card,9.1,card,10.0,desks,10.0,toy,10.9,sock,12.0,pen,12.1,hat,12.7
practice,2,Masker,none,2.65,none,3.1,none,3.85,none,4.45,none,4.9,none,5.65,none,6.1,none,6.7,none,7.45,none,7.9,none,8.65,none,9.25,none,9.7,none,10.3,none,11.05,none,11.5,none,12.25,none,12.85
practice,3,Target,blue,2.5,chairs,3.1,desks,4.0,hat,4.3,pen,5.0,white,6.0,hat,6.1,tables,7.0,glove,7.0,toy,8.0,spoons,9.0,pen,9.1,white,9.7,spoons,10.0,glove,10.9,bag,11.5,blue,12.0,pen,12.7
practice,3,Masker,none,2.65,none,3.25,none,3.7,none,4.45,none,4.9,none,5.5,none,6.25,none,6.7,none,7.3,none,7.9,none,8.5,none,9.25,none,9.85,none,10.3,none,11.05,none,11.65,none,12.1,none,12.85
practice,4,Target,spoons,3.0,hat,3.1,spoons,3.7,toy,4.0,hat,5.0,red,6.0,card,6.1,pen,6.7,spoons,7.0,desks,7.9,red,9.0,bag,9.1,hat,10.0,shoe,10.0,desks,11.0,blue,11.5,chairs,12.0,spoons,12.7
practice,4,Masker,none,2.5,none,3.25,none,3.85,none,4.3,none,4.9,none,5.5,none,6.25,none,6.85,none,7.3,none,8.05,none,8.5,none,9.25,none,9.7,none,10.3,none,10.9,none,11.65,none,12.1,none,12.85
