# -*- coding: utf-8 -*-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# A datafile created by Gustav!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Experiment: mild-bici-color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Vocoded speech in spatially-separated speech or noise maskers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# $comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,Trial,Date,Block,Condition,masker,Soundfile,Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,1,6/23/2025,1,2,side=r_itd=0_az=10_az_itd=0_mag=1,stim/mild-bici-color/s_503/side=r_itd=0_az=10_az_itd=0_mag=1/0__side=r_itd=0_az=10_az_itd=0_mag=1__l=shoe-hat-hat-pen-tables-spoons-desks-bag-spoons-tables-toy-desks-sock-red-tables-red__r=bag-red-chairs-pen-red-bag-bag-hat-hat-shoe-pen-red-pen-hat-glove-shoe.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,2,6/23/2025,2,1,side=l_itd=0_az=10_az_itd=0_mag=1,stim/mild-bici-color/s_503/side=l_itd=0_az=10_az_itd=0_mag=1/0__side=l_itd=0_az=10_az_itd=0_mag=1__l=toy-tables-toy-sock-blue-shoe-tables-chairs-tables-bag-hat-blue-hat-spoons-pen-shoe__r=tables-shoe-white-shoe-shoe-glove-pen-white-hat-sock-pen-tables-card-shoe-shoe-white.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,3,6/23/2025,3,3,side=l_itd=0_az=50_az_itd=0_mag=0,stim/mild-bici-color/s_503/side=l_itd=0_az=50_az_itd=0_mag=0/0__side=l_itd=0_az=50_az_itd=0_mag=0__l=sock-bag-card-chairs-tables-hat-white-card-card-tables-white-pen-glove-hat-tables-desks__r=toy-green-pen-green-shoe-glove-shoe-card-green-spoons-tables-bag-bag-spoons-shoe-green.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
