# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: mild-bici
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Times
mild_bici_1,1,2025-03-29,1,2,side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0/0__side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=gash-bash-gash-gash-bash-dash-dash-bash-gash-dash-dash-gash-gash-dash-gash-dash__r=dash-gash-gash-dash-gash-dash-gash-gash-dash-gash-gash-bash-gash-gash-bash-gash.wav,
mild_bici_1,2,2025-03-29,2,6,side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0/0__side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=gash-bash-dash-dash-dash-dash-dash-dash-gash-gash-gash-bash-dash-dash-dash-gash__r=gash-dash-dash-gash-gash-gash-bash-gash-gash-bash-dash-dash-dash-bash-gash-bash.wav,
mild_bici_1,3,2025-03-29,3,4,side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0/0__side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0__l=dash-gash-dash-gash-bash-gash-gash-gash-dash-dash-gash-dash-gash-dash-dash-bash__r=dash-dash-gash-gash-gash-gash-dash-bash-dash-gash-bash-dash-bash-dash-gash-gash.wav,
mild_bici_1,4,2025-03-29,4,8,side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0/0__side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0__l=dash-gash-gash-gash-dash-gash-dash-dash-gash-dash-gash-dash-bash-gash-gash-gash__r=gash-bash-dash-bash-gash-bash-gash-bash-gash-gash-gash-gash-dash-gash-dash-dash.wav,
mild_bici_1,5,2025-03-29,5,1,side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0/0__side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0__l=dash-gash-bash-gash-gash-gash-gash-gash-gash-dash-dash-gash-dash-dash-dash-bash__r=gash-dash-gash-dash-dash-dash-bash-gash-bash-gash-bash-gash-bash-gash-gash-dash.wav,4044.1225895881653,10408.113943576813
mild_bici_1,6,2025-03-29,6,7,side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0/0__side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0__l=dash-gash-gash-dash-dash-dash-dash-dash-dash-gash-gash-dash-dash-dash-gash-bash__r=dash-dash-gash-bash-gash-bash-dash-bash-dash-bash-dash-dash-bash-dash-gash-gash.wav,11323.467418670654
mild_bici_1,7,2025-03-29,7,5,side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0/0__side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0__l=dash-gash-gash-bash-dash-bash-dash-gash-bash-gash-gash-dash-dash-dash-gash-dash__r=gash-dash-gash-dash-dash-gash-dash-gash-gash-gash-bash-dash-bash-dash-gash-bash.wav,
mild_bici_1,8,2025-03-29,8,3,side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0/0__side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0__l=gash-dash-dash-gash-gash-dash-gash-dash-gash-dash-dash-gash-gash-dash-bash-gash__r=dash-bash-dash-dash-bash-dash-gash-dash-bash-gash-dash-bash-gash-dash-gash-dash.wav,
mild_bici_1,9,2025-03-29,9,6,side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0/10__side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=dash-dash-dash-gash-gash-dash-dash-dash-gash-dash-bash-dash-dash-dash-dash-gash__r=gash-dash-bash-dash-gash-dash-gash-bash-dash-dash-gash-gash-gash-bash-gash-bash.wav,
mild_bici_1,10,2025-03-29,10,8,side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0/10__side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0__l=gash-gash-dash-dash-gash-bash-dash-gash-gash-gash-gash-dash-dash-dash-gash-dash__r=dash-bash-dash-bash-gash-gash-gash-dash-dash-gash-gash-bash-dash-dash-bash-gash.wav,10852.131103992462
