S,Trig,Condition
mild_bici_1,5,side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0
mild_bici_1,6,side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0
mild_bici_1,7,side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0
mild_bici_1,8,side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0
mild_bici_1,9,side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0
mild_bici_1,10,side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0
mild_bici_1,11,side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0
mild_bici_1,12,side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0
mild_bici_1,1,Inhale
mild_bici_1,2,Exhale
mild_bici_1,3,Hold_Breath
mild_bici_1,4,Button_Press
mild_bici_1,5,side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0
mild_bici_1,6,side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0
mild_bici_1,7,side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0
mild_bici_1,8,side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0
mild_bici_1,9,side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0
mild_bici_1,10,side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0
mild_bici_1,11,side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0
mild_bici_1,12,side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0
