S,Trig,Condition
fullpilot1,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot1,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot1,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot1,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot1,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot1,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot1,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot1,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot1,1,Inhale
fullpilot1,2,Exhale
fullpilot1,3,Hold_Breath
fullpilot1,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot1,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot1,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot1,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot1,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot1,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot1,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot1,11,side=l_itd=0_az=5_mag=0_lpf=0
