S,Trig,Condition
ildpilot1,4,side=l_itd=0_az=60_mag=1
ildpilot1,5,side=r_itd=0_az=10_mag=0
ildpilot1,6,side=r_itd=0_az=60_mag=0
ildpilot1,7,side=l_itd=0_az=10_mag=1
ildpilot1,8,side=l_itd=0_az=60_mag=0
ildpilot1,9,side=r_itd=0_az=60_mag=1
ildpilot1,10,side=l_itd=0_az=10_mag=0
ildpilot1,11,side=r_itd=0_az=10_mag=1
ildpilot1,1,Inhale
ildpilot1,2,Exhale
ildpilot1,3,Hold_Breath
ildpilot1,4,side=l_itd=0_az=60_mag=1
ildpilot1,5,side=r_itd=0_az=10_mag=0
ildpilot1,6,side=r_itd=0_az=60_mag=0
ildpilot1,7,side=l_itd=0_az=10_mag=1
ildpilot1,8,side=l_itd=0_az=60_mag=0
ildpilot1,9,side=r_itd=0_az=60_mag=1
ildpilot1,10,side=l_itd=0_az=10_mag=0
ildpilot1,11,side=r_itd=0_az=10_mag=1
