S,Trig,Condition
ildpilot2,4,side=l_itd=0_az=60_mag=1
ildpilot2,5,side=r_itd=0_az=10_mag=0
ildpilot2,6,side=r_itd=0_az=60_mag=0
ildpilot2,7,side=l_itd=0_az=10_mag=1
ildpilot2,8,side=l_itd=0_az=60_mag=0
ildpilot2,9,side=r_itd=0_az=60_mag=1
ildpilot2,10,side=l_itd=0_az=10_mag=0
ildpilot2,11,side=r_itd=0_az=10_mag=1
ildpilot2,1,Inhale
ildpilot2,2,Exhale
ildpilot2,3,Hold_Breath
ildpilot2,4,side=l_itd=0_az=60_mag=1
ildpilot2,5,side=r_itd=0_az=10_mag=0
ildpilot2,6,side=r_itd=0_az=60_mag=0
ildpilot2,7,side=l_itd=0_az=10_mag=1
ildpilot2,8,side=l_itd=0_az=60_mag=0
ildpilot2,9,side=r_itd=0_az=60_mag=1
ildpilot2,10,side=l_itd=0_az=10_mag=0
ildpilot2,11,side=r_itd=0_az=10_mag=1
