S,Trig,Condition
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,1,Inhale
itd_pilot1,2,Exhale
itd_pilot1,3,Hold_Breath
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,1,Inhale
itd_pilot1,2,Exhale
itd_pilot1,3,Hold_Breath
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,1,Inhale
itd_pilot1,2,Exhale
itd_pilot1,3,Hold_Breath
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,1,Inhale
itd_pilot1,2,Exhale
itd_pilot1,3,Hold_Breath
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,1,Inhale
itd_pilot1,2,Exhale
itd_pilot1,3,Hold_Breath
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,1,Inhale
itd_pilot1,2,Exhale
itd_pilot1,3,Hold_Breath
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,1,Inhale
itd_pilot1,2,Exhale
itd_pilot1,3,Hold_Breath
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
itd_pilot1,1,Inhale
itd_pilot1,2,Exhale
itd_pilot1,3,Hold_Breath
itd_pilot1,4,side=r_itd=100_az=0_mag=0
itd_pilot1,5,side=l_itd=50_az=0_mag=0
itd_pilot1,6,side=l_itd=100_az=0_mag=0
itd_pilot1,7,side=l_itd=200_az=0_mag=0
itd_pilot1,8,side=r_itd=400_az=0_mag=0
itd_pilot1,9,side=r_itd=200_az=0_mag=0
itd_pilot1,10,side=r_itd=50_az=0_mag=0
itd_pilot1,11,side=l_itd=400_az=0_mag=0
