S,Trig,Condition
itd_pilot5,4,side=r_itd=100_az=0_mag=0
itd_pilot5,5,side=l_itd=50_az=0_mag=0
itd_pilot5,6,side=l_itd=100_az=0_mag=0
itd_pilot5,7,side=l_itd=200_az=0_mag=0
itd_pilot5,8,side=r_itd=400_az=0_mag=0
itd_pilot5,9,side=r_itd=200_az=0_mag=0
itd_pilot5,10,side=r_itd=50_az=0_mag=0
itd_pilot5,11,side=l_itd=400_az=0_mag=0
itd_pilot5,1,Inhale
itd_pilot5,2,Exhale
itd_pilot5,3,Hold_Breath
itd_pilot5,4,side=r_itd=100_az=0_mag=0
itd_pilot5,5,side=l_itd=50_az=0_mag=0
itd_pilot5,6,side=l_itd=100_az=0_mag=0
itd_pilot5,7,side=l_itd=200_az=0_mag=0
itd_pilot5,8,side=r_itd=400_az=0_mag=0
itd_pilot5,9,side=r_itd=200_az=0_mag=0
itd_pilot5,10,side=r_itd=50_az=0_mag=0
itd_pilot5,11,side=l_itd=400_az=0_mag=0
itd_pilot5,4,side=r_itd=100_az=0_mag=0
itd_pilot5,5,side=l_itd=50_az=0_mag=0
itd_pilot5,6,side=l_itd=100_az=0_mag=0
itd_pilot5,7,side=l_itd=200_az=0_mag=0
itd_pilot5,8,side=r_itd=400_az=0_mag=0
itd_pilot5,9,side=r_itd=200_az=0_mag=0
itd_pilot5,10,side=r_itd=50_az=0_mag=0
itd_pilot5,11,side=l_itd=400_az=0_mag=0
itd_pilot5,1,Inhale
itd_pilot5,2,Exhale
itd_pilot5,3,Hold_Breath
itd_pilot5,4,side=r_itd=100_az=0_mag=0
itd_pilot5,5,side=l_itd=50_az=0_mag=0
itd_pilot5,6,side=l_itd=100_az=0_mag=0
itd_pilot5,7,side=l_itd=200_az=0_mag=0
itd_pilot5,8,side=r_itd=400_az=0_mag=0
itd_pilot5,9,side=r_itd=200_az=0_mag=0
itd_pilot5,10,side=r_itd=50_az=0_mag=0
itd_pilot5,11,side=l_itd=400_az=0_mag=0
itd_pilot5,4,side=r_itd=100_az=0_mag=0
itd_pilot5,5,side=l_itd=50_az=0_mag=0
itd_pilot5,6,side=l_itd=100_az=0_mag=0
itd_pilot5,7,side=l_itd=200_az=0_mag=0
itd_pilot5,8,side=r_itd=400_az=0_mag=0
itd_pilot5,9,side=r_itd=200_az=0_mag=0
itd_pilot5,10,side=r_itd=50_az=0_mag=0
itd_pilot5,11,side=l_itd=400_az=0_mag=0
itd_pilot5,1,Inhale
itd_pilot5,2,Exhale
itd_pilot5,3,Hold_Breath
itd_pilot5,4,side=r_itd=100_az=0_mag=0
itd_pilot5,5,side=l_itd=50_az=0_mag=0
itd_pilot5,6,side=l_itd=100_az=0_mag=0
itd_pilot5,7,side=l_itd=200_az=0_mag=0
itd_pilot5,8,side=r_itd=400_az=0_mag=0
itd_pilot5,9,side=r_itd=200_az=0_mag=0
itd_pilot5,10,side=r_itd=50_az=0_mag=0
itd_pilot5,11,side=l_itd=400_az=0_mag=0
