S,Trig,Condition
lights_off_cpod_off,4,side=r_itd=500_az=0_mag=0_lpf=0
lights_off_cpod_off,5,side=r_itd=50_az=0_mag=0_lpf=0
lights_off_cpod_off,6,side=r_itd=0_az=5_mag=0_lpf=0
lights_off_cpod_off,7,side=l_itd=0_az=5_mag=1_lpf=0
lights_off_cpod_off,8,side=l_itd=50_az=0_mag=0_lpf=0
lights_off_cpod_off,9,side=l_itd=500_az=0_mag=0_lpf=0
lights_off_cpod_off,10,side=r_itd=0_az= 5_mag=1_lpf=0
lights_off_cpod_off,11,side=l_itd=0_az=5_mag=0_lpf=0
lights_off_cpod_off,1,Inhale
lights_off_cpod_off,2,Exhale
lights_off_cpod_off,3,Hold_Breath
lights_off_cpod_off,4,side=r_itd=500_az=0_mag=0_lpf=0
lights_off_cpod_off,5,side=r_itd=50_az=0_mag=0_lpf=0
lights_off_cpod_off,6,side=r_itd=0_az=5_mag=0_lpf=0
lights_off_cpod_off,7,side=l_itd=0_az=5_mag=1_lpf=0
lights_off_cpod_off,8,side=l_itd=50_az=0_mag=0_lpf=0
lights_off_cpod_off,9,side=l_itd=500_az=0_mag=0_lpf=0
lights_off_cpod_off,10,side=r_itd=0_az= 5_mag=1_lpf=0
lights_off_cpod_off,11,side=l_itd=0_az=5_mag=0_lpf=0
