S,Trig,Condition
lpfpilot3,4,side=r_itd=0_az=5_mag=0_lpf=0
lpfpilot3,5,side=r_itd=0_az=10_mag=1_lpf=1
lpfpilot3,6,side=r_itd=0_az=10_mag=1_lpf=0
lpfpilot3,7,side=r_itd=0_az=5_mag=1_lpf=0
lpfpilot3,8,side=r_itd=0_az=5_mag=0_lpf=1
lpfpilot3,9,side=r_itd=0_az=10_mag=0_lpf=1
lpfpilot3,10,side=l_itd=0_az=5_mag=1_lpf=0
lpfpilot3,11,side=l_itd=0_az=10_mag=1_lpf=0
lpfpilot3,12,side=r_itd=0_az=10_mag=0_lpf=0
lpfpilot3,13,side=l_itd=0_az=5_mag=1_lpf=1
lpfpilot3,14,side=l_itd=0_az=10_mag=0_lpf=0
lpfpilot3,15,side=r_itd=0_az=5_mag=1_lpf=1
lpfpilot3,16,side=l_itd=0_az=10_mag=0_lpf=1
lpfpilot3,17,side=l_itd=0_az=10_mag=1_lpf=1
lpfpilot3,18,side=l_itd=0_az=5_mag=0_lpf=0
lpfpilot3,19,side=l_itd=0_az=5_mag=0_lpf=1
lpfpilot3,1,Inhale
lpfpilot3,2,Exhale
lpfpilot3,3,Hold_Breath
lpfpilot3,4,side=r_itd=0_az=5_mag=0_lpf=0
lpfpilot3,5,side=r_itd=0_az=10_mag=1_lpf=1
lpfpilot3,6,side=r_itd=0_az=10_mag=1_lpf=0
lpfpilot3,7,side=r_itd=0_az=5_mag=1_lpf=0
lpfpilot3,8,side=r_itd=0_az=5_mag=0_lpf=1
lpfpilot3,9,side=r_itd=0_az=10_mag=0_lpf=1
lpfpilot3,10,side=l_itd=0_az=5_mag=1_lpf=0
lpfpilot3,11,side=l_itd=0_az=10_mag=1_lpf=0
lpfpilot3,12,side=r_itd=0_az=10_mag=0_lpf=0
lpfpilot3,13,side=l_itd=0_az=5_mag=1_lpf=1
lpfpilot3,14,side=l_itd=0_az=10_mag=0_lpf=0
lpfpilot3,15,side=r_itd=0_az=5_mag=1_lpf=1
lpfpilot3,16,side=l_itd=0_az=10_mag=0_lpf=1
lpfpilot3,17,side=l_itd=0_az=10_mag=1_lpf=1
lpfpilot3,18,side=l_itd=0_az=5_mag=0_lpf=0
lpfpilot3,19,side=l_itd=0_az=5_mag=0_lpf=1
lpfpilot3,4,side=r_itd=0_az=5_mag=0_lpf=0
lpfpilot3,5,side=r_itd=0_az=10_mag=1_lpf=1
lpfpilot3,6,side=r_itd=0_az=10_mag=1_lpf=0
lpfpilot3,7,side=r_itd=0_az=5_mag=1_lpf=0
lpfpilot3,8,side=r_itd=0_az=5_mag=0_lpf=1
lpfpilot3,9,side=r_itd=0_az=10_mag=0_lpf=1
lpfpilot3,10,side=l_itd=0_az=5_mag=1_lpf=0
lpfpilot3,11,side=l_itd=0_az=10_mag=1_lpf=0
lpfpilot3,12,side=r_itd=0_az=10_mag=0_lpf=0
lpfpilot3,13,side=l_itd=0_az=5_mag=1_lpf=1
lpfpilot3,14,side=l_itd=0_az=10_mag=0_lpf=0
lpfpilot3,15,side=r_itd=0_az=5_mag=1_lpf=1
lpfpilot3,16,side=l_itd=0_az=10_mag=0_lpf=1
lpfpilot3,17,side=l_itd=0_az=10_mag=1_lpf=1
lpfpilot3,18,side=l_itd=0_az=5_mag=0_lpf=0
lpfpilot3,19,side=l_itd=0_az=5_mag=0_lpf=1
lpfpilot3,1,Inhale
lpfpilot3,2,Exhale
lpfpilot3,3,Hold_Breath
lpfpilot3,4,side=r_itd=0_az=5_mag=0_lpf=0
lpfpilot3,5,side=r_itd=0_az=10_mag=1_lpf=1
lpfpilot3,6,side=r_itd=0_az=10_mag=1_lpf=0
lpfpilot3,7,side=r_itd=0_az=5_mag=1_lpf=0
lpfpilot3,8,side=r_itd=0_az=5_mag=0_lpf=1
lpfpilot3,9,side=r_itd=0_az=10_mag=0_lpf=1
lpfpilot3,10,side=l_itd=0_az=5_mag=1_lpf=0
lpfpilot3,11,side=l_itd=0_az=10_mag=1_lpf=0
lpfpilot3,12,side=r_itd=0_az=10_mag=0_lpf=0
lpfpilot3,13,side=l_itd=0_az=5_mag=1_lpf=1
lpfpilot3,14,side=l_itd=0_az=10_mag=0_lpf=0
lpfpilot3,15,side=r_itd=0_az=5_mag=1_lpf=1
lpfpilot3,16,side=l_itd=0_az=10_mag=0_lpf=1
lpfpilot3,17,side=l_itd=0_az=10_mag=1_lpf=1
lpfpilot3,18,side=l_itd=0_az=5_mag=0_lpf=0
lpfpilot3,19,side=l_itd=0_az=5_mag=0_lpf=1
lpfpilot3,4,side=r_itd=0_az=5_mag=0_lpf=0
lpfpilot3,5,side=r_itd=0_az=10_mag=1_lpf=1
lpfpilot3,6,side=r_itd=0_az=10_mag=1_lpf=0
lpfpilot3,7,side=r_itd=0_az=5_mag=1_lpf=0
lpfpilot3,8,side=r_itd=0_az=5_mag=0_lpf=1
lpfpilot3,9,side=r_itd=0_az=10_mag=0_lpf=1
lpfpilot3,10,side=l_itd=0_az=5_mag=1_lpf=0
lpfpilot3,11,side=l_itd=0_az=10_mag=1_lpf=0
lpfpilot3,12,side=r_itd=0_az=10_mag=0_lpf=0
lpfpilot3,13,side=l_itd=0_az=5_mag=1_lpf=1
lpfpilot3,14,side=l_itd=0_az=10_mag=0_lpf=0
lpfpilot3,15,side=r_itd=0_az=5_mag=1_lpf=1
lpfpilot3,16,side=l_itd=0_az=10_mag=0_lpf=1
lpfpilot3,17,side=l_itd=0_az=10_mag=1_lpf=1
lpfpilot3,18,side=l_itd=0_az=5_mag=0_lpf=0
lpfpilot3,19,side=l_itd=0_az=5_mag=0_lpf=1
lpfpilot3,1,Inhale
lpfpilot3,2,Exhale
lpfpilot3,3,Hold_Breath
lpfpilot3,4,side=r_itd=0_az=5_mag=0_lpf=0
lpfpilot3,5,side=r_itd=0_az=10_mag=1_lpf=1
lpfpilot3,6,side=r_itd=0_az=10_mag=1_lpf=0
lpfpilot3,7,side=r_itd=0_az=5_mag=1_lpf=0
lpfpilot3,8,side=r_itd=0_az=5_mag=0_lpf=1
lpfpilot3,9,side=r_itd=0_az=10_mag=0_lpf=1
lpfpilot3,10,side=l_itd=0_az=5_mag=1_lpf=0
lpfpilot3,11,side=l_itd=0_az=10_mag=1_lpf=0
lpfpilot3,12,side=r_itd=0_az=10_mag=0_lpf=0
lpfpilot3,13,side=l_itd=0_az=5_mag=1_lpf=1
lpfpilot3,14,side=l_itd=0_az=10_mag=0_lpf=0
lpfpilot3,15,side=r_itd=0_az=5_mag=1_lpf=1
lpfpilot3,16,side=l_itd=0_az=10_mag=0_lpf=1
lpfpilot3,17,side=l_itd=0_az=10_mag=1_lpf=1
lpfpilot3,18,side=l_itd=0_az=5_mag=0_lpf=0
lpfpilot3,19,side=l_itd=0_az=5_mag=0_lpf=1
lpfpilot3,4,side=r_itd=0_az=5_mag=0_lpf=0
lpfpilot3,5,side=r_itd=0_az=10_mag=1_lpf=1
lpfpilot3,6,side=r_itd=0_az=10_mag=1_lpf=0
lpfpilot3,7,side=r_itd=0_az=5_mag=1_lpf=0
lpfpilot3,8,side=r_itd=0_az=5_mag=0_lpf=1
lpfpilot3,9,side=r_itd=0_az=10_mag=0_lpf=1
lpfpilot3,10,side=l_itd=0_az=5_mag=1_lpf=0
lpfpilot3,11,side=l_itd=0_az=10_mag=1_lpf=0
lpfpilot3,12,side=r_itd=0_az=10_mag=0_lpf=0
lpfpilot3,13,side=l_itd=0_az=5_mag=1_lpf=1
lpfpilot3,14,side=l_itd=0_az=10_mag=0_lpf=0
lpfpilot3,15,side=r_itd=0_az=5_mag=1_lpf=1
lpfpilot3,16,side=l_itd=0_az=10_mag=0_lpf=1
lpfpilot3,17,side=l_itd=0_az=10_mag=1_lpf=1
lpfpilot3,18,side=l_itd=0_az=5_mag=0_lpf=0
lpfpilot3,19,side=l_itd=0_az=5_mag=0_lpf=1
lpfpilot3,1,Inhale
lpfpilot3,2,Exhale
lpfpilot3,3,Hold_Breath
lpfpilot3,4,side=r_itd=0_az=5_mag=0_lpf=0
lpfpilot3,5,side=r_itd=0_az=10_mag=1_lpf=1
lpfpilot3,6,side=r_itd=0_az=10_mag=1_lpf=0
lpfpilot3,7,side=r_itd=0_az=5_mag=1_lpf=0
lpfpilot3,8,side=r_itd=0_az=5_mag=0_lpf=1
lpfpilot3,9,side=r_itd=0_az=10_mag=0_lpf=1
lpfpilot3,10,side=l_itd=0_az=5_mag=1_lpf=0
lpfpilot3,11,side=l_itd=0_az=10_mag=1_lpf=0
lpfpilot3,12,side=r_itd=0_az=10_mag=0_lpf=0
lpfpilot3,13,side=l_itd=0_az=5_mag=1_lpf=1
lpfpilot3,14,side=l_itd=0_az=10_mag=0_lpf=0
lpfpilot3,15,side=r_itd=0_az=5_mag=1_lpf=1
lpfpilot3,16,side=l_itd=0_az=10_mag=0_lpf=1
lpfpilot3,17,side=l_itd=0_az=10_mag=1_lpf=1
lpfpilot3,18,side=l_itd=0_az=5_mag=0_lpf=0
lpfpilot3,19,side=l_itd=0_az=5_mag=0_lpf=1
