S,Trig,Condition
shorttest4,4,side=r_itd=0_az=10_mag=0
shorttest4,5,side=r_itd=0_az=5_mag=1
shorttest4,6,side=l_itd=0_az=10_mag=1
shorttest4,7,side=r_itd=0_az=5_mag=0
shorttest4,8,side=l_itd=0_az=5_mag=0
shorttest4,9,side=l_itd=0_az=20_mag=1
shorttest4,10,side=l_itd=0_az=20_mag=0
shorttest4,11,side=l_itd=0_az=10_mag=0
shorttest4,12,side=l_itd=0_az=5_mag=1
shorttest4,13,side=r_itd=0_az=10_mag=1
shorttest4,14,side=r_itd=0_az=20_mag=1
shorttest4,15,side=r_itd=0_az=20_mag=0
shorttest4,1,Inhale
shorttest4,2,Exhale
shorttest4,3,Hold_Breath
shorttest4,4,side=r_itd=0_az=10_mag=0
shorttest4,5,side=r_itd=0_az=5_mag=1
shorttest4,6,side=l_itd=0_az=10_mag=1
shorttest4,7,side=r_itd=0_az=5_mag=0
shorttest4,8,side=l_itd=0_az=5_mag=0
shorttest4,9,side=l_itd=0_az=20_mag=1
shorttest4,10,side=l_itd=0_az=20_mag=0
shorttest4,11,side=l_itd=0_az=10_mag=0
shorttest4,12,side=l_itd=0_az=5_mag=1
shorttest4,13,side=r_itd=0_az=10_mag=1
shorttest4,14,side=r_itd=0_az=20_mag=1
shorttest4,15,side=r_itd=0_az=20_mag=0
shorttest4,4,side=r_itd=0_az=10_mag=0
shorttest4,5,side=r_itd=0_az=5_mag=1
shorttest4,6,side=l_itd=0_az=10_mag=1
shorttest4,7,side=r_itd=0_az=5_mag=0
shorttest4,8,side=l_itd=0_az=5_mag=0
shorttest4,9,side=l_itd=0_az=20_mag=1
shorttest4,10,side=l_itd=0_az=20_mag=0
shorttest4,11,side=l_itd=0_az=10_mag=0
shorttest4,12,side=l_itd=0_az=5_mag=1
shorttest4,13,side=r_itd=0_az=10_mag=1
shorttest4,14,side=r_itd=0_az=20_mag=1
shorttest4,15,side=r_itd=0_az=20_mag=0
shorttest4,1,Inhale
shorttest4,2,Exhale
shorttest4,3,Hold_Breath
shorttest4,4,side=r_itd=0_az=10_mag=0
shorttest4,5,side=r_itd=0_az=5_mag=1
shorttest4,6,side=l_itd=0_az=10_mag=1
shorttest4,7,side=r_itd=0_az=5_mag=0
shorttest4,8,side=l_itd=0_az=5_mag=0
shorttest4,9,side=l_itd=0_az=20_mag=1
shorttest4,10,side=l_itd=0_az=20_mag=0
shorttest4,11,side=l_itd=0_az=10_mag=0
shorttest4,12,side=l_itd=0_az=5_mag=1
shorttest4,13,side=r_itd=0_az=10_mag=1
shorttest4,14,side=r_itd=0_az=20_mag=1
shorttest4,15,side=r_itd=0_az=20_mag=0
