# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: lateralization-localizing
# 

S,Trial,Date,Block,Condition,cue,ref_cue,ref_value,Stim,Resp
test3,1,2024-11-15,1,11,none,ild,60,$user[az],0.9454985095605478
test3,2,2024-11-15,2,3,none,ild,-30,$user[az],-0.7629322183904538
test3,3,2024-11-15,3,12,none,ild,90,$user[az],0.36389820190953304
test3,4,2024-11-15,4,6,none,ild,-5,$user[az],-0.21770210574148197
test3,5,2024-11-15,5,1,none,ild,-90,$user[az],-0.69024563044998
test3,6,2024-11-15,6,9,none,ild,15,$user[az],0.14578463602449931
test3,7,2024-11-15,7,8,none,ild,10,$user[az],0.07309804808402554
test3,8,2024-11-15,8,2,none,ild,-60,$user[az],-0.7629322183904538
test3,9,2024-11-15,9,7,none,ild,5,$user[az],0
test3,10,2024-11-15,10,4,none,ild,-15,$user[az],-0.526687357068011
test3,11,2024-11-15,11,10,none,ild,30,$user[az],0.6910685507370836
test3,12,2024-11-15,12,5,none,ild,-10,$user[az],-0.34494398618502037
test3,13,2024-11-15,13,1,none,ild,-90,$user[az],-0.7811173158914754
test3,14,2024-11-15,14,5,none,ild,-10,$user[az],-0.3267588886839988
test5,1,2024-11-15,1,12,none,ild,90,$user[az],-47.322305978576004
test5,2,2024-11-15,2,4,none,ild,-15,$user[az],67.73552659688102
test5,3,2024-11-15,3,7,none,ild,5,$user[az],13.917355876339002
test5,4,2024-11-15,4,9,none,ild,15,$user[az],-67.73552659688102
test5,5,2024-11-15,5,5,none,ild,-10,$user[az],51.030304879909664
test5,6,2024-11-15,6,6,none,ild,-5,$user[az],54.74379711294901
test5,7,2024-11-15,7,10,none,ild,30,$user[az],-82.578508865627
test5,8,2024-11-15,8,11,none,ild,60,$user[az],-90.0
test5,9,2024-11-15,9,2,none,ild,-60,$user[az],90.0
test5,10,2024-11-15,10,8,none,ild,10,$user[az],-13.917355876339002
test5,11,2024-11-15,11,1,none,ild,-90,$user[az],-12.060609759819329
lateralization_1_ITD,1,2024-11-15,1,12,none,itd,800,$user[az],60.30854213080232
lateralization_1_ITD,2,2024-11-15,2,9,none,itd,200,$user[az],6.4958647419660025
lateralization_1_ITD,3,2024-11-15,3,7,none,itd,50,$user[az],52.88705099642934
lateralization_1_ITD,4,2024-11-15,4,2,none,itd,-500,$user[az],43.60881374553668
lateralization_1_ITD,5,2024-11-15,5,4,none,itd,-200,$user[az],39.90081484420301
lateralization_1_ITD,6,2024-11-15,6,6,none,itd,-50,$user[az],39.90081484420301
lateralization_1_ITD,7,2024-11-15,7,1,none,itd,-800,$user[az],21.338847010711987
lateralization_1_ITD,8,2024-11-15,8,10,none,itd,400,$user[az],62.165288247321996
lateralization_1_ITD,9,2024-11-15,9,3,none,itd,-400,$user[az],60.30854213080232
lateralization_1_ITD,10,2024-11-15,10,5,none,itd,-100,$user[az],58.45728934598833
lateralization_1_ITD,11,2024-11-15,11,11,none,itd,500,$user[az],60.30854213080232
lateralization_1_ITD,12,2024-11-15,12,8,none,itd,100,$user[az],64.02203436384167
lateralization_1_ITD,13,2024-11-15,13,10,none,itd,400,$user[az],62.165288247321996
lateralization_1_ITD,14,2024-11-15,14,1,none,itd,-800,$user[az],75.157017731254
lateralization_1_ITD,15,2024-11-15,15,4,none,itd,-200,$user[az],80.72176274910734
