# -*- coding: utf-8 -*-,,,,,,,,
,,,,,,,,
# A datafile created by Gustav!,,,,,,,,
# ,,,,,,,,
# Experiment: lateralization-matching,,,,,,,,
# ,,,,,,,,
,,,,,,,,
S,Trial,Date,Block,Condition,cue,location,Stim,Resp
latpilot1,1,2024-09-20,1,5,ild,-100,$user[az],-28.7658314767907
latpilot1,2,2024-09-20,2,2,ild,-500,$user[az],-47.322305978576
latpilot1,3,2024-09-20,3,3,ild,-400,$user[az],-49.1790520950957
latpilot1,4,2024-09-20,4,1,ild,-800,$user[az],-13.917355876339
latpilot1,5,2024-09-20,5,10,ild,400,$user[az],36.1873226111637
latpilot1,6,2024-09-20,6,12,ild,800,$user[az],52.8870509964293
latpilot1,7,2024-09-20,7,4,ild,-200,$user[az],-19.487594225898
latpilot1,8,2024-09-20,8,6,ild,-50,$user[az],0.925626392406983
latpilot1,9,2024-09-20,9,9,ild,200,$user[az],32.4738303781243
latpilot1,10,2024-09-20,10,7,ild,50,$user[az],4.63911862544634
latpilot1,11,2024-09-20,11,11,ild,500,$user[az],26.909085360271
latpilot1,12,2024-09-20,12,8,ild,100,$user[az],17.6308481093783
latpilot1,13,2024-09-20,13,5,ild,-100,$user[az],-13.917355876339
latpilot1,14,2024-09-20,14,4,ild,-200,$user[az],-30.6170842616047
latpilot1,15,2024-09-20,15,11,ild,500,$user[az],26.909085360271
latpilot1,16,2024-09-20,16,3,ild,-400,$user[az],-21.338847010712
latpilot1,17,2024-09-20,17,9,ild,200,$user[az],13.917355876339
latpilot1,18,2024-09-20,18,10,ild,400,$user[az],30.6170842616047
latpilot1,19,2024-09-20,19,6,ild,-50,$user[az],0.925626392406983
latpilot1,20,2024-09-20,20,8,ild,100,$user[az],8.35261085848568
latpilot1,21,2024-09-20,21,12,ild,800,$user[az],47.322305978576
latpilot1,22,2024-09-20,22,2,ild,-500,$user[az],-47.322305978576
latpilot1,23,2024-09-20,23,1,ild,-800,$user[az],-47.322305978576
latpilot1,24,2024-09-20,24,7,ild,50,$user[az],8.35261085848568
latpilot1,25,2024-09-20,25,9,ild,200,$user[az],26.909085360271
latpilot1,26,2024-09-20,26,2,ild,-500,$user[az],-36.1873226111637
latpilot1,27,2024-09-20,27,7,ild,50,$user[az],8.35261085848568
latpilot1,28,2024-09-20,28,10,ild,400,$user[az],28.7658314767907
latpilot1,29,2024-09-20,29,12,ild,800,$user[az],43.6088137455367
latpilot1,30,2024-09-20,30,8,ild,100,$user[az],12.0606097598193
latpilot1,31,2024-09-20,31,4,ild,-200,$user[az],-28.7658314767907
latpilot1,32,2024-09-20,32,5,ild,-100,$user[az],-6.495864741966
latpilot1,33,2024-09-20,33,3,ild,-400,$user[az],-28.7658314767907
latpilot1,34,2024-09-20,34,11,ild,500,$user[az],13.917355876339
latpilot1,35,2024-09-20,35,6,ild,-50,$user[az],-8.35261085848568
latpilot1,36,2024-09-20,36,1,ild,-800,$user[az],-25.0523392437513
latpilot1,37,2024-09-20,37,1,ild,-800,$user[az],-28.7658314767907
latpilot1,38,2024-09-20,38,12,ild,800,$user[az],28.7658314767907
latpilot1,39,2024-09-20,39,8,ild,100,$user[az],12.0606097598193
latpilot1,40,2024-09-20,40,11,ild,500,$user[az],38.0440687276833
latpilot1,41,2024-09-20,41,3,ild,-400,$user[az],-21.338847010712
latpilot1,42,2024-09-20,42,6,ild,-50,$user[az],-13.917355876339
latpilot1,43,2024-09-20,43,9,ild,200,$user[az],12.0606097598193
latpilot1,44,2024-09-20,44,10,ild,400,$user[az],26.909085360271
latpilot1,45,2024-09-20,45,7,ild,50,$user[az],34.330576494644
latpilot1,46,2024-09-20,46,5,ild,-100,$user[az],-26.909085360271
latpilot1,47,2024-09-20,47,2,ild,-500,$user[az],-21.338847010712
latpilot1,48,2024-09-20,48,4,ild,-200,$user[az],-10.2038636432997
latpilot1,49,2024-09-20,49,2,ild,-500,$user[az],-36.1873226111637
latpilot1,50,2024-09-20,50,8,ild,100,$user[az],6.495864741966
latpilot1,51,2024-09-20,51,7,ild,50,$user[az],-0.925626392406997
latpilot1,52,2024-09-20,52,3,ild,-400,$user[az],-71.4435254982147
latpilot1,53,2024-09-20,53,4,ild,-200,$user[az],-28.7658314767907
latpilot1,54,2024-09-20,54,5,ild,-100,$user[az],-8.35261085848568
latpilot1,55,2024-09-20,55,1,ild,-800,$user[az],-54.743797112949
latpilot1,56,2024-09-20,56,9,ild,200,$user[az],23.1955931272317
latpilot1,57,2024-09-20,57,6,ild,-50,$user[az],-6.495864741966
latpilot1,58,2024-09-20,58,10,ild,400,$user[az],13.917355876339
latpilot1,59,2024-09-20,59,11,ild,500,$user[az],15.7741019928587
latpilot1,60,2024-09-20,60,12,ild,800,$user[az],13.917355876339
latpilot1,61,2024-09-20,61,5,ild,-100,$user[az],-8.35261085848568
latpilot1,62,2024-09-20,62,12,ild,800,$user[az],36.1873226111637
latpilot1,63,2024-09-20,63,10,ild,400,$user[az],28.7658314767907
latpilot1,64,2024-09-20,64,6,ild,-50,$user[az],-4.63911862544633
latpilot1,65,2024-09-20,65,9,ild,200,$user[az],12.0606097598193
latpilot1,66,2024-09-20,66,2,ild,-500,$user[az],-21.338847010712
latpilot1,67,2024-09-20,67,11,ild,500,$user[az],17.6308481093783
latpilot1,68,2024-09-20,68,8,ild,100,$user[az],13.917355876339
latpilot1,69,2024-09-20,69,7,ild,50,$user[az],10.2038636432997
latpilot1,70,2024-09-20,70,1,ild,-800,$user[az],-41.752067629017
latpilot1,71,2024-09-20,71,4,ild,-200,$user[az],-10.2038636432997
latpilot1,72,2024-09-20,72,3,ild,-400,$user[az],-34.330576494644
latpilot2,1,2024-09-20,1,3,ild,-400,$user[az],-65.8787804803613
latpilot2,2,2024-09-20,2,2,ild,-500,$user[az],-73.3002716147343
latpilot2,3,2024-09-20,3,7,ild,50,$user[az],0.925626392406983
latpilot2,4,2024-09-20,4,11,ild,500,$user[az],71.4435254982147
latpilot2,5,2024-09-20,5,5,ild,-100,$user[az],-6.495864741966
latpilot2,6,2024-09-20,6,1,ild,-800,$user[az],-90
latpilot2,7,2024-09-20,7,8,ild,100,$user[az],10.2038636432997
latpilot2,8,2024-09-20,8,9,ild,200,$user[az],41.752067629017
latpilot2,9,2024-09-20,9,4,ild,-200,$user[az],-25.0523392437513
latpilot2,10,2024-09-20,10,6,ild,-50,$user[az],-10.2038636432997
latpilot2,11,2024-09-20,11,10,ild,400,$user[az],41.752067629017
latpilot2,12,2024-09-20,12,12,ild,800,$user[az],71.4435254982147
latpilot2,13,2024-09-20,13,4,ild,-200,$user[az],-6.495864741966
latpilot2,14,2024-09-20,14,2,ild,-500,$user[az],-75.157017731254
latpilot2,15,2024-09-20,15,8,ild,100,$user[az],2.78237250892667
latpilot2,16,2024-09-20,16,7,ild,50,$user[az],-0.925626392406997
latpilot2,17,2024-09-20,17,10,ild,400,$user[az],60.3085421308023
latpilot2,18,2024-09-20,18,6,ild,-50,$user[az],-8.35261085848568
latpilot2,19,2024-09-20,19,5,ild,-100,$user[az],-4.63911862544633
latpilot2,20,2024-09-20,20,12,ild,800,$user[az],90
latpilot2,21,2024-09-20,21,1,ild,-800,$user[az],-80.7217627491073
latpilot2,22,2024-09-20,22,11,ild,500,$user[az],60.3085421308023
latpilot2,23,2024-09-20,23,9,ild,200,$user[az],-0.925626392406997
latpilot2,24,2024-09-20,24,3,ild,-400,$user[az],-65.8787804803613
latpilot2,25,2024-09-20,25,5,ild,-100,$user[az],-21.338847010712
latpilot2,26,2024-09-20,26,9,ild,200,$user[az],58.4572893459883
latpilot2,27,2024-09-20,27,3,ild,-400,$user[az],-36.1873226111637
latpilot2,28,2024-09-20,28,6,ild,-50,$user[az],-8.35261085848568
latpilot2,29,2024-09-20,29,7,ild,50,$user[az],-4.63911862544633
latpilot2,30,2024-09-20,30,8,ild,100,$user[az],10.2038636432997
latpilot2,31,2024-09-20,31,11,ild,500,$user[az],49.1790520950957
latpilot2,32,2024-09-20,32,10,ild,400,$user[az],39.900814844203
latpilot2,33,2024-09-20,33,4,ild,-200,$user[az],-26.909085360271
latpilot2,34,2024-09-20,34,1,ild,-800,$user[az],-64.0220343638417
latpilot2,35,2024-09-20,35,2,ild,-500,$user[az],-19.487594225898
latpilot2,36,2024-09-20,36,12,ild,800,$user[az],78.8705099642934
latpilot2,37,2024-09-20,37,4,ild,-200,$user[az],-8.35261085848568
latpilot2,38,2024-09-20,38,1,ild,-800,$user[az],-77.0137638477737
latpilot2,39,2024-09-20,39,9,ild,200,$user[az],23.1955931272317
latpilot2,40,2024-09-20,40,11,ild,500,$user[az],65.8787804803613
latpilot2,41,2024-09-20,41,7,ild,50,$user[az],17.6308481093783
latpilot2,42,2024-09-20,42,2,ild,-500,$user[az],-69.5922727134007
latpilot2,43,2024-09-20,43,8,ild,100,$user[az],13.917355876339
latpilot2,44,2024-09-20,44,6,ild,-50,$user[az],-28.7658314767907
latpilot2,45,2024-09-20,45,3,ild,-400,$user[az],-45.4655598620563
latpilot2,46,2024-09-20,46,12,ild,800,$user[az],90
latpilot2,47,2024-09-20,47,5,ild,-100,$user[az],-6.495864741966
latpilot2,48,2024-09-20,48,10,ild,400,$user[az],56.6005432294687
latpilot2,49,2024-09-20,49,8,ild,100,$user[az],6.495864741966
latpilot2,50,2024-09-20,50,2,ild,-500,$user[az],-90
latpilot2,51,2024-09-20,51,4,ild,-200,$user[az],-39.900814844203
latpilot2,52,2024-09-20,52,9,ild,200,$user[az],65.8787804803613
latpilot2,53,2024-09-20,53,12,ild,800,$user[az],90
latpilot2,54,2024-09-20,54,3,ild,-400,$user[az],-82.578508865627
latpilot2,55,2024-09-20,55,1,ild,-800,$user[az],-90
latpilot2,56,2024-09-20,56,6,ild,-50,$user[az],-2.78237250892667
latpilot2,57,2024-09-20,57,11,ild,500,$user[az],43.6088137455367
latpilot2,58,2024-09-20,58,10,ild,400,$user[az],39.900814844203
latpilot2,59,2024-09-20,59,7,ild,50,$user[az],-0.925626392406997
latpilot2,60,2024-09-20,60,5,ild,-100,$user[az],-21.338847010712
latpilot2,61,2024-09-20,61,11,ild,500,$user[az],88.148747215186
latpilot2,62,2024-09-20,62,12,ild,800,$user[az],90
latpilot2,63,2024-09-20,63,9,ild,200,$user[az],13.917355876339
latpilot2,64,2024-09-20,64,2,ild,-500,$user[az],-73.3002716147343
latpilot2,65,2024-09-20,65,1,ild,-800,$user[az],-95.570238349559
latpilot2,66,2024-09-20,66,3,ild,-400,$user[az],-39.900814844203
latpilot2,67,2024-09-20,67,6,ild,-50,$user[az],0.925626392406983
latpilot2,68,2024-09-20,68,10,ild,400,$user[az],90
latpilot2,69,2024-09-20,69,8,ild,100,$user[az],6.495864741966
latpilot2,70,2024-09-20,70,7,ild,50,$user[az],2.78237250892667
latpilot2,71,2024-09-20,71,5,ild,-100,$user[az],-36.1873226111637
latpilot2,72,2024-09-20,72,4,ild,-200,$user[az],-62.165288247322
latmatch3,1,2024-09-20,1,4,ild,-200,$user[az],-39.900814844203
latmatch3,2,2024-09-20,2,3,ild,-400,$user[az],-19.487594225898
latmatch3,3,2024-09-20,3,10,ild,400,$user[az],80.7217627491073
latmatch3,4,2024-09-20,4,8,ild,100,$user[az],6.495864741966
latmatch3,5,2024-09-20,5,7,ild,50,$user[az],6.495864741966
latmatch3,6,2024-09-20,6,1,ild,-800,$user[az],-54.743797112949
latmatch3,7,2024-09-20,7,2,ild,-500,$user[az],-38.0440687276833
latmatch3,8,2024-09-20,8,5,ild,-100,$user[az],-80.7217627491073
latmatch3,9,2024-09-20,9,11,ild,500,$user[az],90
latmatch3,10,2024-09-20,10,12,ild,800,$user[az],90
latmatch3,11,2024-09-20,11,6,ild,-50,$user[az],-13.917355876339
latmatch3,12,2024-09-20,12,9,ild,200,$user[az],41.752067629017
latmatch3,13,2024-09-20,13,3,ild,-400,$user[az],-15.7741019928587
latmatch3,14,2024-09-20,14,5,ild,-100,$user[az],-2.78237250892667
latmatch3,15,2024-09-20,15,1,ild,-800,$user[az],-47.322305978576
latmatch3,16,2024-09-20,16,12,ild,800,$user[az],71.4435254982147
latmatch3,17,2024-09-20,17,11,ild,500,$user[az],21.338847010712
latmatch3,18,2024-09-20,18,4,ild,-200,$user[az],73.3002716147343
latmatch3,19,2024-09-20,19,2,ild,-500,$user[az],-39.900814844203
latmatch3,20,2024-09-20,20,9,ild,200,$user[az],80.7217627491073
latmatch3,21,2024-09-20,21,8,ild,100,$user[az],15.7741019928587
latmatch3,22,2024-09-20,22,6,ild,-50,$user[az],-4.63911862544633
latmatch3,23,2024-09-20,23,7,ild,50,$user[az],25.0523392437513
latmatch3,24,2024-09-20,24,10,ild,400,$user[az],26.909085360271
latmatch3,25,2024-09-20,25,3,ild,-400,$user[az],-49.1790520950957
latmatch3,26,2024-09-20,26,2,ild,-500,$user[az],-47.322305978576
latmatch3,27,2024-09-20,27,11,ild,500,$user[az],77.0137638477737
latmatch3,28,2024-09-20,28,7,ild,50,$user[az],17.6308481093783
latmatch3,29,2024-09-20,29,1,ild,-800,$user[az],-56.6005432294687
latmatch3,30,2024-09-20,30,5,ild,-100,$user[az],-13.917355876339
latmatch3,31,2024-09-20,31,8,ild,100,$user[az],32.4738303781243
latmatch3,32,2024-09-20,32,9,ild,200,$user[az],71.4435254982147
latmatch3,33,2024-09-20,33,10,ild,400,$user[az],38.0440687276833
latmatch3,34,2024-09-20,34,12,ild,800,$user[az],71.4435254982147
