S,Trig,Condition
dense_nirs_2,4,side=r_itd=500_az=0_mag=0_lpf=0
dense_nirs_2,5,side=r_itd=50_az=0_mag=0_lpf=0
dense_nirs_2,6,side=r_itd=0_az=5_mag=0_lpf=0
dense_nirs_2,7,side=l_itd=0_az=5_mag=1_lpf=0
dense_nirs_2,8,side=l_itd=50_az=0_mag=0_lpf=0
dense_nirs_2,9,side=l_itd=500_az=0_mag=0_lpf=0
dense_nirs_2,10,side=r_itd=0_az= 5_mag=1_lpf=0
dense_nirs_2,11,side=l_itd=0_az=5_mag=0_lpf=0
dense_nirs_2,1,Inhale
dense_nirs_2,2,Exhale
dense_nirs_2,3,Hold_Breath
dense_nirs_2,4,side=r_itd=500_az=0_mag=0_lpf=0
dense_nirs_2,5,side=r_itd=50_az=0_mag=0_lpf=0
dense_nirs_2,6,side=r_itd=0_az=5_mag=0_lpf=0
dense_nirs_2,7,side=l_itd=0_az=5_mag=1_lpf=0
dense_nirs_2,8,side=l_itd=50_az=0_mag=0_lpf=0
dense_nirs_2,9,side=l_itd=500_az=0_mag=0_lpf=0
dense_nirs_2,10,side=r_itd=0_az= 5_mag=1_lpf=0
dense_nirs_2,11,side=l_itd=0_az=5_mag=0_lpf=0
