S,Trig,Condition
fullpilot2,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot2,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot2,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot2,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot2,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot2,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot2,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot2,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot2,1,Inhale
fullpilot2,2,Exhale
fullpilot2,3,Hold_Breath
fullpilot2,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot2,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot2,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot2,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot2,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot2,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot2,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot2,11,side=l_itd=0_az=5_mag=0_lpf=0
