S,Trig,Condition
ildpilot3,4,side=r_itd=0_az=10_mag=0
ildpilot3,5,side=l_itd=0_az=30_mag=0
ildpilot3,6,side=r_itd=0_az=5_mag=1
ildpilot3,7,side=r_itd=0_az=30_mag=1
ildpilot3,8,side=l_itd=0_az=10_mag=1
ildpilot3,9,side=r_itd=0_az=5_mag=0
ildpilot3,10,side=l_itd=0_az=5_mag=0
ildpilot3,11,side=r_itd=0_az=30_mag=0
ildpilot3,12,side=l_itd=0_az=20_mag=1
ildpilot3,13,side=l_itd=0_az=20_mag=0
ildpilot3,14,side=l_itd=0_az=10_mag=0
ildpilot3,15,side=l_itd=0_az=5_mag=1
ildpilot3,16,side=r_itd=0_az=10_mag=1
ildpilot3,17,side=r_itd=0_az=20_mag=1
ildpilot3,18,side=l_itd=0_az=30_mag=1
ildpilot3,19,side=r_itd=0_az=20_mag=0
ildpilot3,1,Inhale
ildpilot3,2,Exhale
ildpilot3,3,Hold_Breath
ildpilot3,4,side=r_itd=0_az=10_mag=0
ildpilot3,5,side=l_itd=0_az=30_mag=0
ildpilot3,6,side=r_itd=0_az=5_mag=1
ildpilot3,7,side=r_itd=0_az=30_mag=1
ildpilot3,8,side=l_itd=0_az=10_mag=1
ildpilot3,9,side=r_itd=0_az=5_mag=0
ildpilot3,10,side=l_itd=0_az=5_mag=0
ildpilot3,11,side=r_itd=0_az=30_mag=0
ildpilot3,12,side=l_itd=0_az=20_mag=1
ildpilot3,13,side=l_itd=0_az=20_mag=0
ildpilot3,14,side=l_itd=0_az=10_mag=0
ildpilot3,15,side=l_itd=0_az=5_mag=1
ildpilot3,16,side=r_itd=0_az=10_mag=1
ildpilot3,17,side=r_itd=0_az=20_mag=1
ildpilot3,18,side=l_itd=0_az=30_mag=1
ildpilot3,19,side=r_itd=0_az=20_mag=0
ildpilot3,4,side=r_itd=0_az=10_mag=0
ildpilot3,5,side=l_itd=0_az=30_mag=0
ildpilot3,6,side=r_itd=0_az=5_mag=1
ildpilot3,7,side=r_itd=0_az=30_mag=1
ildpilot3,8,side=l_itd=0_az=10_mag=1
ildpilot3,9,side=r_itd=0_az=5_mag=0
ildpilot3,10,side=l_itd=0_az=5_mag=0
ildpilot3,11,side=r_itd=0_az=30_mag=0
ildpilot3,12,side=l_itd=0_az=20_mag=1
ildpilot3,13,side=l_itd=0_az=20_mag=0
ildpilot3,14,side=l_itd=0_az=10_mag=0
ildpilot3,15,side=l_itd=0_az=5_mag=1
ildpilot3,16,side=r_itd=0_az=10_mag=1
ildpilot3,17,side=r_itd=0_az=20_mag=1
ildpilot3,18,side=l_itd=0_az=30_mag=1
ildpilot3,19,side=r_itd=0_az=20_mag=0
ildpilot3,1,Inhale
ildpilot3,2,Exhale
ildpilot3,3,Hold_Breath
ildpilot3,4,side=r_itd=0_az=10_mag=0
ildpilot3,5,side=l_itd=0_az=30_mag=0
ildpilot3,6,side=r_itd=0_az=5_mag=1
ildpilot3,7,side=r_itd=0_az=30_mag=1
ildpilot3,8,side=l_itd=0_az=10_mag=1
ildpilot3,9,side=r_itd=0_az=5_mag=0
ildpilot3,10,side=l_itd=0_az=5_mag=0
ildpilot3,11,side=r_itd=0_az=30_mag=0
ildpilot3,12,side=l_itd=0_az=20_mag=1
ildpilot3,13,side=l_itd=0_az=20_mag=0
ildpilot3,14,side=l_itd=0_az=10_mag=0
ildpilot3,15,side=l_itd=0_az=5_mag=1
ildpilot3,16,side=r_itd=0_az=10_mag=1
ildpilot3,17,side=r_itd=0_az=20_mag=1
ildpilot3,18,side=l_itd=0_az=30_mag=1
ildpilot3,19,side=r_itd=0_az=20_mag=0
