S,Trig,Condition
itd_pilot3,4,side=r_itd=100_az=0_mag=0
itd_pilot3,5,side=l_itd=50_az=0_mag=0
itd_pilot3,6,side=l_itd=100_az=0_mag=0
itd_pilot3,7,side=l_itd=200_az=0_mag=0
itd_pilot3,8,side=r_itd=400_az=0_mag=0
itd_pilot3,9,side=r_itd=200_az=0_mag=0
itd_pilot3,10,side=r_itd=50_az=0_mag=0
itd_pilot3,11,side=l_itd=400_az=0_mag=0
itd_pilot3,1,Inhale
itd_pilot3,2,Exhale
itd_pilot3,3,Hold_Breath
itd_pilot3,4,side=r_itd=100_az=0_mag=0
itd_pilot3,5,side=l_itd=50_az=0_mag=0
itd_pilot3,6,side=l_itd=100_az=0_mag=0
itd_pilot3,7,side=l_itd=200_az=0_mag=0
itd_pilot3,8,side=r_itd=400_az=0_mag=0
itd_pilot3,9,side=r_itd=200_az=0_mag=0
itd_pilot3,10,side=r_itd=50_az=0_mag=0
itd_pilot3,11,side=l_itd=400_az=0_mag=0
