S,Trig,Condition
itdpilot_4_5,4,side=r_itd=100_az=0_mag=0
itdpilot_4_5,5,side=l_itd=50_az=0_mag=0
itdpilot_4_5,6,side=l_itd=100_az=0_mag=0
itdpilot_4_5,7,side=l_itd=200_az=0_mag=0
itdpilot_4_5,8,side=r_itd=400_az=0_mag=0
itdpilot_4_5,9,side=r_itd=200_az=0_mag=0
itdpilot_4_5,10,side=r_itd=50_az=0_mag=0
itdpilot_4_5,11,side=l_itd=400_az=0_mag=0
itdpilot_4_5,1,Inhale
itdpilot_4_5,2,Exhale
itdpilot_4_5,3,Hold_Breath
itdpilot_4_5,4,side=r_itd=100_az=0_mag=0
itdpilot_4_5,5,side=l_itd=50_az=0_mag=0
itdpilot_4_5,6,side=l_itd=100_az=0_mag=0
itdpilot_4_5,7,side=l_itd=200_az=0_mag=0
itdpilot_4_5,8,side=r_itd=400_az=0_mag=0
itdpilot_4_5,9,side=r_itd=200_az=0_mag=0
itdpilot_4_5,10,side=r_itd=50_az=0_mag=0
itdpilot_4_5,11,side=l_itd=400_az=0_mag=0
