S,Trig,Condition
lpfpilot4,4,side=r_itd=0_az=5_mag=0_lpf=0
lpfpilot4,5,side=r_itd=0_az=10_mag=1_lpf=1
lpfpilot4,6,side=r_itd=0_az=10_mag=1_lpf=0
lpfpilot4,7,side=r_itd=0_az=5_mag=1_lpf=0
lpfpilot4,8,side=r_itd=0_az=5_mag=0_lpf=1
lpfpilot4,9,side=r_itd=0_az=10_mag=0_lpf=1
lpfpilot4,10,side=l_itd=0_az=5_mag=1_lpf=0
lpfpilot4,11,side=l_itd=0_az=10_mag=1_lpf=0
lpfpilot4,12,side=r_itd=0_az=10_mag=0_lpf=0
lpfpilot4,13,side=l_itd=0_az=5_mag=1_lpf=1
lpfpilot4,14,side=l_itd=0_az=10_mag=0_lpf=0
lpfpilot4,15,side=r_itd=0_az=5_mag=1_lpf=1
lpfpilot4,16,side=l_itd=0_az=10_mag=0_lpf=1
lpfpilot4,17,side=l_itd=0_az=10_mag=1_lpf=1
lpfpilot4,18,side=l_itd=0_az=5_mag=0_lpf=0
lpfpilot4,19,side=l_itd=0_az=5_mag=0_lpf=1
lpfpilot4,1,Inhale
lpfpilot4,2,Exhale
lpfpilot4,3,Hold_Breath
lpfpilot4,4,side=r_itd=0_az=5_mag=0_lpf=0
lpfpilot4,5,side=r_itd=0_az=10_mag=1_lpf=1
lpfpilot4,6,side=r_itd=0_az=10_mag=1_lpf=0
lpfpilot4,7,side=r_itd=0_az=5_mag=1_lpf=0
lpfpilot4,8,side=r_itd=0_az=5_mag=0_lpf=1
lpfpilot4,9,side=r_itd=0_az=10_mag=0_lpf=1
lpfpilot4,10,side=l_itd=0_az=5_mag=1_lpf=0
lpfpilot4,11,side=l_itd=0_az=10_mag=1_lpf=0
lpfpilot4,12,side=r_itd=0_az=10_mag=0_lpf=0
lpfpilot4,13,side=l_itd=0_az=5_mag=1_lpf=1
lpfpilot4,14,side=l_itd=0_az=10_mag=0_lpf=0
lpfpilot4,15,side=r_itd=0_az=5_mag=1_lpf=1
lpfpilot4,16,side=l_itd=0_az=10_mag=0_lpf=1
lpfpilot4,17,side=l_itd=0_az=10_mag=1_lpf=1
lpfpilot4,18,side=l_itd=0_az=5_mag=0_lpf=0
lpfpilot4,19,side=l_itd=0_az=5_mag=0_lpf=1
