S,Trig,Condition
phantom_no_lights,4,side=r_itd=500_az=0_mag=0_lpf=0
phantom_no_lights,5,side=r_itd=50_az=0_mag=0_lpf=0
phantom_no_lights,6,side=r_itd=0_az=5_mag=0_lpf=0
phantom_no_lights,7,side=l_itd=0_az=5_mag=1_lpf=0
phantom_no_lights,8,side=l_itd=50_az=0_mag=0_lpf=0
phantom_no_lights,9,side=l_itd=500_az=0_mag=0_lpf=0
phantom_no_lights,10,side=r_itd=0_az= 5_mag=1_lpf=0
phantom_no_lights,11,side=l_itd=0_az=5_mag=0_lpf=0
phantom_no_lights,1,Inhale
phantom_no_lights,2,Exhale
phantom_no_lights,3,Hold_Breath
phantom_no_lights,4,side=r_itd=500_az=0_mag=0_lpf=0
phantom_no_lights,5,side=r_itd=50_az=0_mag=0_lpf=0
phantom_no_lights,6,side=r_itd=0_az=5_mag=0_lpf=0
phantom_no_lights,7,side=l_itd=0_az=5_mag=1_lpf=0
phantom_no_lights,8,side=l_itd=50_az=0_mag=0_lpf=0
phantom_no_lights,9,side=l_itd=500_az=0_mag=0_lpf=0
phantom_no_lights,10,side=r_itd=0_az= 5_mag=1_lpf=0
phantom_no_lights,11,side=l_itd=0_az=5_mag=0_lpf=0
