S,Trig,Condition
phantom_no_monitor,4,side=r_itd=500_az=0_mag=0_lpf=0
phantom_no_monitor,5,side=r_itd=50_az=0_mag=0_lpf=0
phantom_no_monitor,6,side=r_itd=0_az=5_mag=0_lpf=0
phantom_no_monitor,7,side=l_itd=0_az=5_mag=1_lpf=0
phantom_no_monitor,8,side=l_itd=50_az=0_mag=0_lpf=0
phantom_no_monitor,9,side=l_itd=500_az=0_mag=0_lpf=0
phantom_no_monitor,10,side=r_itd=0_az= 5_mag=1_lpf=0
phantom_no_monitor,11,side=l_itd=0_az=5_mag=0_lpf=0
phantom_no_monitor,1,Inhale
phantom_no_monitor,2,Exhale
phantom_no_monitor,3,Hold_Breath
phantom_no_monitor,4,side=r_itd=500_az=0_mag=0_lpf=0
phantom_no_monitor,5,side=r_itd=50_az=0_mag=0_lpf=0
phantom_no_monitor,6,side=r_itd=0_az=5_mag=0_lpf=0
phantom_no_monitor,7,side=l_itd=0_az=5_mag=1_lpf=0
phantom_no_monitor,8,side=l_itd=50_az=0_mag=0_lpf=0
phantom_no_monitor,9,side=l_itd=500_az=0_mag=0_lpf=0
phantom_no_monitor,10,side=r_itd=0_az= 5_mag=1_lpf=0
phantom_no_monitor,11,side=l_itd=0_az=5_mag=0_lpf=0
