S,Trig,Condition
shorttest2,4,side=r_itd=0_az=10_mag=0
shorttest2,5,side=r_itd=0_az=5_mag=1
shorttest2,6,side=l_itd=0_az=10_mag=1
shorttest2,7,side=r_itd=0_az=5_mag=0
shorttest2,8,side=l_itd=0_az=5_mag=0
shorttest2,9,side=l_itd=0_az=20_mag=1
shorttest2,10,side=l_itd=0_az=20_mag=0
shorttest2,11,side=l_itd=0_az=10_mag=0
shorttest2,12,side=l_itd=0_az=5_mag=1
shorttest2,13,side=r_itd=0_az=10_mag=1
shorttest2,14,side=r_itd=0_az=20_mag=1
shorttest2,15,side=r_itd=0_az=20_mag=0
shorttest2,1,Inhale
shorttest2,2,Exhale
shorttest2,3,Hold_Breath
shorttest2,4,side=r_itd=0_az=10_mag=0
shorttest2,5,side=r_itd=0_az=5_mag=1
shorttest2,6,side=l_itd=0_az=10_mag=1
shorttest2,7,side=r_itd=0_az=5_mag=0
shorttest2,8,side=l_itd=0_az=5_mag=0
shorttest2,9,side=l_itd=0_az=20_mag=1
shorttest2,10,side=l_itd=0_az=20_mag=0
shorttest2,11,side=l_itd=0_az=10_mag=0
shorttest2,12,side=l_itd=0_az=5_mag=1
shorttest2,13,side=r_itd=0_az=10_mag=1
shorttest2,14,side=r_itd=0_az=20_mag=1
shorttest2,15,side=r_itd=0_az=20_mag=0
shorttest2,4,side=r_itd=0_az=10_mag=0
shorttest2,5,side=r_itd=0_az=5_mag=1
shorttest2,6,side=l_itd=0_az=10_mag=1
shorttest2,7,side=r_itd=0_az=5_mag=0
shorttest2,8,side=l_itd=0_az=5_mag=0
shorttest2,9,side=l_itd=0_az=20_mag=1
shorttest2,10,side=l_itd=0_az=20_mag=0
shorttest2,11,side=l_itd=0_az=10_mag=0
shorttest2,12,side=l_itd=0_az=5_mag=1
shorttest2,13,side=r_itd=0_az=10_mag=1
shorttest2,14,side=r_itd=0_az=20_mag=1
shorttest2,15,side=r_itd=0_az=20_mag=0
shorttest2,1,Inhale
shorttest2,2,Exhale
shorttest2,3,Hold_Breath
shorttest2,4,side=r_itd=0_az=10_mag=0
shorttest2,5,side=r_itd=0_az=5_mag=1
shorttest2,6,side=l_itd=0_az=10_mag=1
shorttest2,7,side=r_itd=0_az=5_mag=0
shorttest2,8,side=l_itd=0_az=5_mag=0
shorttest2,9,side=l_itd=0_az=20_mag=1
shorttest2,10,side=l_itd=0_az=20_mag=0
shorttest2,11,side=l_itd=0_az=10_mag=0
shorttest2,12,side=l_itd=0_az=5_mag=1
shorttest2,13,side=r_itd=0_az=10_mag=1
shorttest2,14,side=r_itd=0_az=20_mag=1
shorttest2,15,side=r_itd=0_az=20_mag=0
