S,Trig,Condition
shorttest,4,side=r_itd=0_az=10_mag=0
shorttest,5,side=r_itd=0_az=5_mag=1
shorttest,6,side=l_itd=0_az=10_mag=1
shorttest,7,side=r_itd=0_az=5_mag=0
shorttest,8,side=l_itd=0_az=5_mag=0
shorttest,9,side=l_itd=0_az=20_mag=1
shorttest,10,side=l_itd=0_az=20_mag=0
shorttest,11,side=l_itd=0_az=10_mag=0
shorttest,12,side=l_itd=0_az=5_mag=1
shorttest,13,side=r_itd=0_az=10_mag=1
shorttest,14,side=r_itd=0_az=20_mag=1
shorttest,15,side=r_itd=0_az=20_mag=0
shorttest,1,Inhale
shorttest,2,Exhale
shorttest,3,Hold_Breath
shorttest,4,side=r_itd=0_az=10_mag=0
shorttest,5,side=r_itd=0_az=5_mag=1
shorttest,6,side=l_itd=0_az=10_mag=1
shorttest,7,side=r_itd=0_az=5_mag=0
shorttest,8,side=l_itd=0_az=5_mag=0
shorttest,9,side=l_itd=0_az=20_mag=1
shorttest,10,side=l_itd=0_az=20_mag=0
shorttest,11,side=l_itd=0_az=10_mag=0
shorttest,12,side=l_itd=0_az=5_mag=1
shorttest,13,side=r_itd=0_az=10_mag=1
shorttest,14,side=r_itd=0_az=20_mag=1
shorttest,15,side=r_itd=0_az=20_mag=0
shorttest,4,side=r_itd=0_az=10_mag=0
shorttest,5,side=r_itd=0_az=5_mag=1
shorttest,6,side=l_itd=0_az=10_mag=1
shorttest,7,side=r_itd=0_az=5_mag=0
shorttest,8,side=l_itd=0_az=5_mag=0
shorttest,9,side=l_itd=0_az=20_mag=1
shorttest,10,side=l_itd=0_az=20_mag=0
shorttest,11,side=l_itd=0_az=10_mag=0
shorttest,12,side=l_itd=0_az=5_mag=1
shorttest,13,side=r_itd=0_az=10_mag=1
shorttest,14,side=r_itd=0_az=20_mag=1
shorttest,15,side=r_itd=0_az=20_mag=0
shorttest,1,Inhale
shorttest,2,Exhale
shorttest,3,Hold_Breath
shorttest,4,side=r_itd=0_az=10_mag=0
shorttest,5,side=r_itd=0_az=5_mag=1
shorttest,6,side=l_itd=0_az=10_mag=1
shorttest,7,side=r_itd=0_az=5_mag=0
shorttest,8,side=l_itd=0_az=5_mag=0
shorttest,9,side=l_itd=0_az=20_mag=1
shorttest,10,side=l_itd=0_az=20_mag=0
shorttest,11,side=l_itd=0_az=10_mag=0
shorttest,12,side=l_itd=0_az=5_mag=1
shorttest,13,side=r_itd=0_az=10_mag=1
shorttest,14,side=r_itd=0_az=20_mag=1
shorttest,15,side=r_itd=0_az=20_mag=0
shorttest,4,side=r_itd=0_az=10_mag=0
shorttest,5,side=r_itd=0_az=5_mag=1
shorttest,6,side=l_itd=0_az=10_mag=1
shorttest,7,side=r_itd=0_az=5_mag=0
shorttest,8,side=l_itd=0_az=5_mag=0
shorttest,9,side=l_itd=0_az=20_mag=1
shorttest,10,side=l_itd=0_az=20_mag=0
shorttest,11,side=l_itd=0_az=10_mag=0
shorttest,12,side=l_itd=0_az=5_mag=1
shorttest,13,side=r_itd=0_az=10_mag=1
shorttest,14,side=r_itd=0_az=20_mag=1
shorttest,15,side=r_itd=0_az=20_mag=0
shorttest,1,Inhale
shorttest,2,Exhale
shorttest,3,Hold_Breath
shorttest,4,side=r_itd=0_az=10_mag=0
shorttest,5,side=r_itd=0_az=5_mag=1
shorttest,6,side=l_itd=0_az=10_mag=1
shorttest,7,side=r_itd=0_az=5_mag=0
shorttest,8,side=l_itd=0_az=5_mag=0
shorttest,9,side=l_itd=0_az=20_mag=1
shorttest,10,side=l_itd=0_az=20_mag=0
shorttest,11,side=l_itd=0_az=10_mag=0
shorttest,12,side=l_itd=0_az=5_mag=1
shorttest,13,side=r_itd=0_az=10_mag=1
shorttest,14,side=r_itd=0_az=20_mag=1
shorttest,15,side=r_itd=0_az=20_mag=0
