OriginalVariableNames,Var1,Var2,Var3,Var4
all_lag_FA_rates_collapsed1,0.294117647058824,0.0833333333333333,0.404761904761905,0.102564102564103
all_lag_FA_rates_collapsed2,0.214285714285714,0.0869565217391304,0.380952380952381,0.342105263157895
all_lag_FA_rates_collapsed3,0.371428571428571,0.116279069767442,0.378378378378378,0.0714285714285714
all_lag_FA_rates_collapsed4,0.452380952380952,0.225,0.285714285714286,0.226415094339623
all_lag_FA_rates_collapsed5,0.0740740740740741,0.024390243902439,0.205882352941176,0.001
all_lag_FA_rates_collapsed6,0.264705882352941,0.0697674418604651,0.162790697674419,0.001
all_lag_FA_rates_collapsed7,0.628571428571429,0.4,0.666666666666667,0.461538461538462
all_lag_FA_rates_collapsed8,0.22,0.0566037735849057,0.375,0.166666666666667
all_lag_FA_rates_collapsed9,0.171428571428571,0.025,0.001,0.001
all_lag_FA_rates_collapsed10,0.25531914893617,0.13953488372093,0.235294117647059,0.0754716981132075
all_lag_FA_rates_collapsed11,0.153846153846154,0.0512820512820513,0.291666666666667,0.0285714285714286
all_lag_FA_rates_collapsed12,0.0869565217391304,0.116279069767442,0.189189189189189,0.0588235294117647
all_lag_FA_rates_collapsed13,0.24,0.25,0.421052631578947,0.175
all_lag_FA_rates_collapsed14,0.195121951219512,0.0833333333333333,0.395348837209302,0.114285714285714
all_lag_FA_rates_collapsed15,0.568181818181818,0.292682926829268,0.458333333333333,0.19047619047619
all_lag_FA_rates_collapsed16,0.131578947368421,0.0930232558139535,0.131578947368421,0.0930232558139535
all_lag_FA_rates_collapsed17,0.0952380952380952,0.0454545454545455,0.15,0.001
all_lag_FA_rates_collapsed18,0.0555555555555556,0.0208333333333333,0.219512195121951,0.0285714285714286
all_lag_FA_rates_collapsed19,0.5,0.0833333333333333,0.184210526315789,0.111111111111111
all_lag_FA_rates_collapsed20,0.0967741935483871,0.001,0.05,0.0263157894736842
all_lag_FA_rates_collapsed21,0.5,0.288461538461538,0.377777777777778,0.155555555555556
all_lag_FA_rates_collapsed22,0.166666666666667,0.0392156862745098,0.125,0.0454545454545455
all_lag_FA_rates_collapsed23,0.1,0.001,0.025,0.001
all_lag_FA_rates_collapsed24,0.434782608695652,0.326086956521739,0.238095238095238,0.2
all_lag_FA_rates_collapsed25,0.0689655172413793,0.001,0.0975609756097561,0.0454545454545455
all_lag_FA_rates_collapsed26,0.48936170212766,0.307692307692308,0.394736842105263,0.205128205128205
all_lag_FA_rates_collapsed27,0.275,0.116279069767442,0.51219512195122,0.0857142857142857
all_lag_FA_rates_collapsed28,0.1,0.0652173913043478,0.171428571428571,0.0227272727272727
all_lag_FA_rates_collapsed29,0.0851063829787234,0.024390243902439,0.212765957446809,0.001
all_lag_FA_rates_collapsed30,0.4,0.333333333333333,0.530612244897959,0.295454545454545
all_lag_FA_rates_collapsed31,0.444444444444444,0.365853658536585,0.5,0.5
all_lag_FA_rates_collapsed32,0.680851063829787,0.613636363636364,0.622222222222222,0.69047619047619
all_lag_FA_rates_collapsed33,0.0625,0.001,0.0476190476190476,0.001
all_lag_FA_rates_collapsed34,0.131578947368421,0.0810810810810811,0.0810810810810811,0.0204081632653061
all_lag_FA_rates_collapsed35,0.001,0.001,0.001,0.001
all_lag_FA_rates_collapsed36,0.0930232558139535,0.024390243902439,0.138888888888889,0.024390243902439
all_lag_FA_rates_collapsed37,0.0882352941176471,0.001,0.22,0.001
all_lag_FA_rates_collapsed38,0.075,0.0625,0.184210526315789,0.075
all_lag_FA_rates_collapsed39,0.0638297872340425,0.001,0.0476190476190476,0.0232558139534884
all_lag_FA_rates_collapsed40,0.142857142857143,0.001,0.156862745098039,0.027027027027027
