OriginalVariableNames,Var1,Var2,Var3,Var4
all_lag_hit_rates_collapsed1,0.829268292682927,0.999,0.888888888888889,0.956521739130435
all_lag_hit_rates_collapsed2,0.67741935483871,0.697674418604651,0.71875,0.878048780487805
all_lag_hit_rates_collapsed3,0.717948717948718,0.714285714285714,0.591836734693878,0.854166666666667
all_lag_hit_rates_collapsed4,0.526315789473684,0.617647058823529,0.65,0.72972972972973
all_lag_hit_rates_collapsed5,0.933333333333333,0.976744186046512,0.863636363636364,0.952380952380952
all_lag_hit_rates_collapsed6,0.840909090909091,0.897435897435897,0.827586206896552,0.833333333333333
all_lag_hit_rates_collapsed7,0.8,0.945945945945946,0.823529411764706,0.971428571428571
all_lag_hit_rates_collapsed8,0.575757575757576,0.617647058823529,0.536585365853659,0.595238095238095
all_lag_hit_rates_collapsed9,0.95,0.945945945945946,0.942857142857143,0.923076923076923
all_lag_hit_rates_collapsed10,0.780487804878049,0.85,0.775,0.818181818181818
all_lag_hit_rates_collapsed11,0.897435897435897,0.933333333333333,0.825,0.837837837837838
all_lag_hit_rates_collapsed12,0.6875,0.8,0.636363636363636,0.611111111111111
all_lag_hit_rates_collapsed13,0.80952380952381,0.75609756097561,0.651162790697674,0.742857142857143
all_lag_hit_rates_collapsed14,0.69047619047619,0.711111111111111,0.680851063829787,0.651162790697674
all_lag_hit_rates_collapsed15,0.857142857142857,0.931818181818182,0.9,0.863636363636364
all_lag_hit_rates_collapsed16,0.704545454545455,0.804878048780488,0.85,0.813953488372093
all_lag_hit_rates_collapsed17,0.91304347826087,0.9,0.771428571428571,0.911111111111111
all_lag_hit_rates_collapsed18,0.842105263157895,0.911111111111111,0.923076923076923,0.862068965517241
all_lag_hit_rates_collapsed19,0.82051282051282,0.926829268292683,0.735294117647059,0.921052631578947
all_lag_hit_rates_collapsed20,0.875,0.794117647058823,0.951219512195122,0.9
all_lag_hit_rates_collapsed21,0.680851063829787,0.794871794871795,0.7,0.861111111111111
all_lag_hit_rates_collapsed22,0.583333333333333,0.48780487804878,0.428571428571429,0.636363636363636
all_lag_hit_rates_collapsed23,0.878787878787879,0.914285714285714,0.911111111111111,0.948717948717949
all_lag_hit_rates_collapsed24,0.78,0.775,0.85,0.825
all_lag_hit_rates_collapsed25,0.863636363636364,0.852941176470588,0.8125,0.86
all_lag_hit_rates_collapsed26,0.875,0.777777777777778,0.844444444444444,0.808510638297872
all_lag_hit_rates_collapsed27,0.617021276595745,0.681818181818182,0.707317073170732,0.805555555555556
all_lag_hit_rates_collapsed28,0.787234042553192,0.909090909090909,0.888888888888889,0.916666666666667
all_lag_hit_rates_collapsed29,0.833333333333333,0.8,0.723404255319149,0.710526315789474
all_lag_hit_rates_collapsed30,0.853658536585366,0.707317073170732,0.85,0.837837837837838
all_lag_hit_rates_collapsed31,0.25531914893617,0.422222222222222,0.355555555555556,0.361111111111111
all_lag_hit_rates_collapsed32,0.825,0.533333333333333,0.675,0.684210526315789
all_lag_hit_rates_collapsed33,0.790697674418605,0.8,0.7,0.870967741935484
all_lag_hit_rates_collapsed34,0.846153846153846,0.833333333333333,0.723404255319149,0.862068965517241
all_lag_hit_rates_collapsed35,0.939393939393939,0.911111111111111,0.956521739130435,0.896551724137931
all_lag_hit_rates_collapsed36,0.8125,0.85,0.80952380952381,0.961538461538462
all_lag_hit_rates_collapsed37,0.888888888888889,0.976744186046512,0.896551724137931,0.931818181818182
all_lag_hit_rates_collapsed38,0.978723404255319,0.818181818181818,0.847826086956522,0.883720930232558
all_lag_hit_rates_collapsed39,0.714285714285714,0.863636363636364,0.894736842105263,0.842105263157895
all_lag_hit_rates_collapsed40,0.742857142857143,0.744186046511628,0.736842105263158,0.843137254901961
