OriginalVariableNames,Var1,Var2,Var3,Var4
all_lead_FA_rates_collapsed1,0.277777777777778,0.05,0.204545454545455,0.0588235294117647
all_lead_FA_rates_collapsed2,0.325581395348837,0.27027027027027,0.380952380952381,0.155555555555556
all_lead_FA_rates_collapsed3,0.471698113207547,0.151515151515152,0.275,0.230769230769231
all_lead_FA_rates_collapsed4,0.475,0.40625,0.395348837209302,0.324324324324324
all_lead_FA_rates_collapsed5,0.117647058823529,0.0869565217391304,0.285714285714286,0.0222222222222222
all_lead_FA_rates_collapsed6,0.234042553191489,0.0930232558139535,0.0638297872340425,0.001
all_lead_FA_rates_collapsed7,0.567567567567568,0.605263157894737,0.473684210526316,0.277777777777778
all_lead_FA_rates_collapsed8,0.162162162162162,0.129032258064516,0.294117647058824,0.13953488372093
all_lead_FA_rates_collapsed9,0.0294117647058824,0.001,0.001,0.001
all_lead_FA_rates_collapsed10,0.0930232558139535,0.119047619047619,0.315789473684211,0.0857142857142857
all_lead_FA_rates_collapsed11,0.133333333333333,0.0217391304347826,0.24390243902439,0.0769230769230769
all_lead_FA_rates_collapsed12,0.130434782608696,0.0526315789473684,0.230769230769231,0.0188679245283019
all_lead_FA_rates_collapsed13,0.314285714285714,0.232558139534884,0.314285714285714,0.19047619047619
all_lead_FA_rates_collapsed14,0.282051282051282,0.157894736842105,0.411764705882353,0.133333333333333
all_lead_FA_rates_collapsed15,0.456521739130435,0.361702127659574,0.411764705882353,0.125
all_lead_FA_rates_collapsed16,0.0909090909090909,0.001,0.0555555555555556,0.001
all_lead_FA_rates_collapsed17,0.19047619047619,0.024390243902439,0.2,0.001
all_lead_FA_rates_collapsed18,0.0526315789473684,0.0294117647058824,0.189189189189189,0.0408163265306122
all_lead_FA_rates_collapsed19,0.333333333333333,0.0652173913043478,0.434782608695652,0.117647058823529
all_lead_FA_rates_collapsed20,0.145833333333333,0.001,0.13953488372093,0.001
all_lead_FA_rates_collapsed21,0.540540540540541,0.558823529411765,0.425531914893617,0.173913043478261
all_lead_FA_rates_collapsed22,0.131578947368421,0.0652173913043478,0.05,0.0652173913043478
all_lead_FA_rates_collapsed23,0.0588235294117647,0.001,0.128205128205128,0.001
all_lead_FA_rates_collapsed24,0.341463414634146,0.333333333333333,0.292682926829268,0.129032258064516
all_lead_FA_rates_collapsed25,0.0238095238095238,0.0222222222222222,0.0476190476190476,0.001
all_lead_FA_rates_collapsed26,0.411764705882353,0.244897959183673,0.540540540540541,0.195652173913043
all_lead_FA_rates_collapsed27,0.340909090909091,0.105263157894737,0.325581395348837,0.0425531914893617
all_lead_FA_rates_collapsed28,0.113636363636364,0.001,0.0975609756097561,0.001
all_lead_FA_rates_collapsed29,0.159090909090909,0.025,0.21875,0.0416666666666667
all_lead_FA_rates_collapsed30,0.404255319148936,0.292682926829268,0.5,0.387755102040816
all_lead_FA_rates_collapsed31,0.488888888888889,0.382978723404255,0.4,0.434782608695652
all_lead_FA_rates_collapsed32,0.731707317073171,0.648648648648649,0.645161290322581,0.692307692307692
all_lead_FA_rates_collapsed33,0.0285714285714286,0.001,0.001,0.0227272727272727
all_lead_FA_rates_collapsed34,0.0909090909090909,0.0714285714285714,0.0697674418604651,0.0975609756097561
all_lead_FA_rates_collapsed35,0.001,0.001,0.027027027027027,0.0217391304347826
all_lead_FA_rates_collapsed36,0.0588235294117647,0.001,0.340909090909091,0.001
all_lead_FA_rates_collapsed37,0.0277777777777778,0.001,0.12,0.0227272727272727
all_lead_FA_rates_collapsed38,0.105263157894737,0.06,0.13953488372093,0.0232558139534884
all_lead_FA_rates_collapsed39,0.0416666666666667,0.0204081632653061,0.125,0.0212765957446809
all_lead_FA_rates_collapsed40,0.114285714285714,0.025,0.125,0.0810810810810811
