S,Condition,Lead_Stream,Lead_Word,Lag_Word,Lead_Amplitude,Lag_Amplitude,Electrode
mild_master_1 ,small_itd,Target,bash,non-bash,1.63507490356763,1.69326197935475,Fp1
mild_master_1 ,small_itd,Target,non-bash,bash,0.955650083457722,-0.0496139731477289,Fp1
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.22679404924947,0.117476577327607,Fp1
mild_master_1 ,small_itd,Masker,bash,non-bash,2.92133163600056,0.336571788235947,Fp1
mild_master_1 ,small_itd,Masker,non-bash,bash,2.45136811849548,0.680238593787682,Fp1
mild_master_1 ,small_itd,Masker,non-bash,non-bash,2.22712643571667,1.17005220364024,Fp1
mild_master_1 ,large_itd,Target,bash,non-bash,1.3168765604496,0.63702478493963,Fp1
mild_master_1 ,large_itd,Target,non-bash,bash,0.94045049349467,1.55061144249307,Fp1
mild_master_1 ,large_itd,Target,non-bash,non-bash,0.858625996809501,0.218674033957642,Fp1
mild_master_1 ,large_itd,Masker,bash,non-bash,0.905198440452417,1.63349727491538,Fp1
mild_master_1 ,large_itd,Masker,non-bash,bash,1.38883764093572,0.599345964012724,Fp1
mild_master_1 ,large_itd,Masker,non-bash,non-bash,0.921279310236732,0.446434057659382,Fp1
mild_master_1 ,small_ild,Target,bash,non-bash,1.6695212444663,1.50296963781118,Fp1
mild_master_1 ,small_ild,Target,non-bash,bash,3.17687184654531,0.546156958738963,Fp1
mild_master_1 ,small_ild,Target,non-bash,non-bash,1.17537517243663,0.746549377575615,Fp1
mild_master_1 ,small_ild,Masker,bash,non-bash,2.60747400549325,1.50163611390374,Fp1
mild_master_1 ,small_ild,Masker,non-bash,bash,2.75370688388745,0.390916583438714,Fp1
mild_master_1 ,small_ild,Masker,non-bash,non-bash,1.66090501206262,0.404359617627653,Fp1
mild_master_1 ,large_ild,Target,bash,non-bash,1.30239067382001,1.94497206008181,Fp1
mild_master_1 ,large_ild,Target,non-bash,bash,1.94629441652543,-0.131112761069567,Fp1
mild_master_1 ,large_ild,Target,non-bash,non-bash,1.61920852055395,0.69847112079946,Fp1
mild_master_1 ,large_ild,Masker,bash,non-bash,-0.0561896737884073,0.865015765148051,Fp1
mild_master_1 ,large_ild,Masker,non-bash,bash,1.48263949933259,0.82381798054861,Fp1
mild_master_1 ,large_ild,Masker,non-bash,non-bash,1.87396883579515,1.20933928108363,Fp1
mild_master_1 ,small_itd,Target,bash,non-bash,0.574282413721085,4.82368779480457,AF3
mild_master_1 ,small_itd,Target,non-bash,bash,2.5113077584435,-0.0530482099336736,AF3
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.68582344444086,0.354736074065486,AF3
mild_master_1 ,small_itd,Masker,bash,non-bash,3.07160511701195,0.520698138740328,AF3
mild_master_1 ,small_itd,Masker,non-bash,bash,2.50747062520283,1.15247288128225,AF3
