S,Condition,Lead_Stream,Lead_Word,Lag_Word,Lead_Amplitude,Lag_Amplitude,Electrode
mild_master_1 ,small_itd,Target,bash,non-bash,2.15275656746493,0.993765131963624,Fp1
mild_master_1 ,small_itd,Target,non-bash,bash,0.775375788702684,2.45767268170329,Fp1
mild_master_1 ,small_itd,Target,non-bash,non-bash,-0.364586514107724,1.19964245350648,Fp1
mild_master_1 ,small_itd,Masker,bash,non-bash,1.22416681989476,1.75808915849085,Fp1
mild_master_1 ,small_itd,Masker,non-bash,bash,-0.428897526496794,2.10268412770295,Fp1
mild_master_1 ,small_itd,Masker,non-bash,non-bash,0.654037827545113,0.550883110461535,Fp1
mild_master_1 ,large_itd,Target,bash,non-bash,0.853992194363049,1.82638260977609,Fp1
mild_master_1 ,large_itd,Target,non-bash,bash,0.925039392047458,2.96614429056644,Fp1
mild_master_1 ,large_itd,Target,non-bash,non-bash,0.75571953077595,1.72297984884157,Fp1
mild_master_1 ,large_itd,Masker,bash,non-bash,1.31916883796453,0.500775008499622,Fp1
mild_master_1 ,large_itd,Masker,non-bash,bash,0.964312813318137,0.657258594036102,Fp1
mild_master_1 ,large_itd,Masker,non-bash,non-bash,0.508576892091216,0.785238055488188,Fp1
mild_master_1 ,small_ild,Target,bash,non-bash,2.29785813629627,-0.331083307266235,Fp1
mild_master_1 ,small_ild,Target,non-bash,bash,0.42021264121646,3.00099482919489,Fp1
mild_master_1 ,small_ild,Target,non-bash,non-bash,0.556510848320083,0.97105665337171,Fp1
mild_master_1 ,small_ild,Masker,bash,non-bash,1.97309595373544,0.763100782849572,Fp1
mild_master_1 ,small_ild,Masker,non-bash,bash,1.8292973894212,3.05437309245269,Fp1
mild_master_1 ,small_ild,Masker,non-bash,non-bash,0.683890021385107,0.551153656997179,Fp1
mild_master_1 ,large_ild,Target,bash,non-bash,1.51919377281311,2.59658904557532,Fp1
mild_master_1 ,large_ild,Target,non-bash,bash,1.31487671473087,1.63221905292609,Fp1
mild_master_1 ,large_ild,Target,non-bash,non-bash,0.546627931914678,0.337226435420959,Fp1
mild_master_1 ,large_ild,Masker,bash,non-bash,0.814965323665563,1.82663346634192,Fp1
mild_master_1 ,large_ild,Masker,non-bash,bash,-0.113312711015992,2.86311875659487,Fp1
mild_master_1 ,large_ild,Masker,non-bash,non-bash,0.753448586804526,1.35457293524505,Fp1
mild_master_1 ,small_itd,Target,bash,non-bash,5.16704133782122,1.08354513876968,AF3
mild_master_1 ,small_itd,Target,non-bash,bash,1.32742207716493,4.34864042120821,AF3
mild_master_1 ,small_itd,Target,non-bash,non-bash,-0.434886711032678,1.79850858111754,AF3
mild_master_1 ,small_itd,Masker,bash,non-bash,2.39172721924605,1.28104445249946,AF3
mild_master_1 ,small_itd,Masker,non-bash,bash,-1.05500311560747,4.25833989643469,AF3
mild_master_1 ,small_itd,Masker,non-bash,non-bash,-0.190919038132354,0.505387825482375,AF3
mild_master_1 ,large_itd,Target,bash,non-bash,3.51902307357107,3.27018610537052,AF3
mild_master_1 ,large_itd,Target,non-bash,bash,1.8088333427906,4.04100896351867,AF3
mild_master_1 ,large_itd,Target,non-bash,non-bash,1.63745312551399,1.54991608300766,AF3
mild_master_1 ,large_itd,Masker,bash,non-bash,2.94230474809806,1.16000338037809,AF3
mild_master_1 ,large_itd,Masker,non-bash,bash,0.560528474143057,2.97553682760759,AF3
mild_master_1 ,large_itd,Masker,non-bash,non-bash,0.713416557860889,0.534398241866407,AF3
mild_master_1 ,small_ild,Target,bash,non-bash,4.53542954742908,-0.397196560800076,AF3
mild_master_1 ,small_ild,Target,non-bash,bash,-0.594913536310196,3.61414534250895,AF3
mild_master_1 ,small_ild,Target,non-bash,non-bash,1.14730810858556,1.06124775164964,AF3
mild_master_1 ,small_ild,Masker,bash,non-bash,3.28439991501245,2.28853751718998,AF3
mild_master_1 ,small_ild,Masker,non-bash,bash,2.60692382587327,5.49944060709741,AF3
mild_master_1 ,small_ild,Masker,non-bash,non-bash,1.58843316789857,-0.938169412146834,AF3
mild_master_1 ,large_ild,Target,bash,non-bash,2.69701910399376,1.73823174314296,AF3
mild_master_1 ,large_ild,Target,non-bash,bash,1.17837165288436,0.700312664569953,AF3
mild_master_1 ,large_ild,Target,non-bash,non-bash,1.58360596720765,-1.04914494016306,AF3
mild_master_1 ,large_ild,Masker,bash,non-bash,2.43703444109244,1.10898522384026,AF3
mild_master_1 ,large_ild,Masker,non-bash,bash,-1.27745413417402,5.34940283376238,AF3
mild_master_1 ,large_ild,Masker,non-bash,non-bash,1.3741547548993,1.37832483541891,AF3
mild_master_1 ,small_itd,Target,bash,non-bash,2.23234369754791,0.591023900111516,F7
mild_master_1 ,small_itd,Target,non-bash,bash,1.37834422640941,3.12262153730673,F7
mild_master_1 ,small_itd,Target,non-bash,non-bash,0.0585608776156784,1.36011758873649,F7
mild_master_1 ,small_itd,Masker,bash,non-bash,1.37579571108023,1.56285800514398,F7
mild_master_1 ,small_itd,Masker,non-bash,bash,0.180048562986095,2.48178410646392,F7
mild_master_1 ,small_itd,Masker,non-bash,non-bash,0.679127058449325,0.601971702600693,F7
mild_master_1 ,large_itd,Target,bash,non-bash,1.17612474603312,1.78381874454873,F7
mild_master_1 ,large_itd,Target,non-bash,bash,1.32968007392353,2.00085628728072,F7
mild_master_1 ,large_itd,Target,non-bash,non-bash,0.68174949896026,1.59650922913056,F7
mild_master_1 ,large_itd,Masker,bash,non-bash,1.26970363805691,0.499021563927333,F7
mild_master_1 ,large_itd,Masker,non-bash,bash,1.06887608188571,1.53050971500801,F7
mild_master_1 ,large_itd,Masker,non-bash,non-bash,0.72273121832086,0.61990615798415,F7
mild_master_1 ,small_ild,Target,bash,non-bash,1.78293820261955,-0.160866813212633,F7
mild_master_1 ,small_ild,Target,non-bash,bash,0.317066474046026,2.58941908961251,F7
mild_master_1 ,small_ild,Target,non-bash,non-bash,0.402592962309225,1.00043461046472,F7
mild_master_1 ,small_ild,Masker,bash,non-bash,2.46216726492752,0.120584425465627,F7
mild_master_1 ,small_ild,Masker,non-bash,bash,1.67606531646517,2.3922498120202,F7
mild_master_1 ,small_ild,Masker,non-bash,non-bash,0.925953352137616,0.665082751136077,F7
mild_master_1 ,large_ild,Target,bash,non-bash,1.2656828397132,1.92690017679904,F7
mild_master_1 ,large_ild,Target,non-bash,bash,0.726938967521374,1.18826476152127,F7
mild_master_1 ,large_ild,Target,non-bash,non-bash,0.387315751963515,0.354042787813559,F7
mild_master_1 ,large_ild,Masker,bash,non-bash,0.170501631848952,2.17726531204055,F7
mild_master_1 ,large_ild,Masker,non-bash,bash,-0.799354953610379,3.35102270763853,F7
mild_master_1 ,large_ild,Masker,non-bash,non-bash,0.957668501879117,0.902432622820694,F7
mild_master_1 ,small_itd,Target,bash,non-bash,3.43448613948292,1.29849542677402,F3
mild_master_1 ,small_itd,Target,non-bash,bash,0.624746357693392,3.97229513806455,F3
mild_master_1 ,small_itd,Target,non-bash,non-bash,-0.101517915894799,1.46594425211561,F3
mild_master_1 ,small_itd,Masker,bash,non-bash,2.05007306734721,2.48460714419683,F3
mild_master_1 ,small_itd,Masker,non-bash,bash,-0.202264372604649,3.29836555486772,F3
mild_master_1 ,small_itd,Masker,non-bash,non-bash,0.649312676249684,0.557772476939888,F3
mild_master_1 ,large_itd,Target,bash,non-bash,1.38629644342831,3.01375736892223,F3
mild_master_1 ,large_itd,Target,non-bash,bash,1.72797639105055,4.09879121316804,F3
mild_master_1 ,large_itd,Target,non-bash,non-bash,1.16897199664797,1.8809141996619,F3
mild_master_1 ,large_itd,Masker,bash,non-bash,2.14734813312689,0.553688210050265,F3
mild_master_1 ,large_itd,Masker,non-bash,bash,1.01404016812642,2.10267708373792,F3
mild_master_1 ,large_itd,Masker,non-bash,non-bash,0.583524695489046,0.94598075297239,F3
mild_master_1 ,small_ild,Target,bash,non-bash,3.03037879735231,-0.348833164870739,F3
mild_master_1 ,small_ild,Target,non-bash,bash,0.416259914636612,4.15153465185847,F3
mild_master_1 ,small_ild,Target,non-bash,non-bash,0.940230950298688,1.03636177667719,F3
mild_master_1 ,small_ild,Masker,bash,non-bash,3.37969341549006,1.68714158291166,F3
mild_master_1 ,small_ild,Masker,non-bash,bash,2.43009245163865,4.76515890657902,F3
mild_master_1 ,small_ild,Masker,non-bash,non-bash,1.07477816370197,0.529572334594296,F3
mild_master_1 ,large_ild,Target,bash,non-bash,2.46366483708645,2.734458361788,F3
mild_master_1 ,large_ild,Target,non-bash,bash,1.80570103358,2.69566949208577,F3
mild_master_1 ,large_ild,Target,non-bash,non-bash,1.04320196494824,0.197570701827848,F3
