,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
3,az_itd=0_az=15,8.0,6.449833416154747e-14,0.7587120962081294,1.336079865288472e-07,-0.31788391511299063,-0.04247182984815366,1,7,hbo,False,S1_D7 hbo,mild_master_34,0.2013386859892485,
4,az_itd=0_az=5,8.0,6.449833416154747e-14,0.775087097236157,1.3370093778322992e-07,-0.2955669107580079,-0.039517573146037877,1,7,hbo,False,S1_D7 hbo,mild_master_34,-0.03844818041892379,
5,az_itd=15_az=0,8.0,6.449833416154747e-14,0.7869855704977758,1.3361825035820524e-07,-0.27945367381253566,-0.03734011095100361,1,7,hbo,False,S1_D7 hbo,mild_master_34,-0.17068503918245057,
6,az_itd=5_az=0,8.0,6.449833416154747e-14,0.8033395834014107,1.3363894562183307e-07,-0.25743680516946177,-0.03440358320710014,1,7,hbo,False,S1_D7 hbo,mild_master_34,0.13469352814615326,
11,az_itd=0_az=15,8.0,3.2085011352808584e-16,0.0016291734538023787,1.6047127965789037e-08,4.657289905398419,0.07473612708570594,1,8,hbo,True,S1_D8 hbo,mild_master_34,0.09693929908239228,
12,az_itd=0_az=5,8.0,3.2085011352808584e-16,0.824272286404653,1.604352555269031e-08,0.22945591156502473,0.0036812817804093225,1,8,hbo,False,S1_D8 hbo,mild_master_34,0.02973333495907465,
13,az_itd=15_az=0,8.0,3.2085011352808584e-16,0.00029662519819989054,1.6044866421520162e-08,6.077871228648467,0.09751863199086529,1,8,hbo,True,S1_D8 hbo,mild_master_34,0.11217975383124763,
14,az_itd=5_az=0,8.0,3.2085011352808584e-16,0.00022666407837852165,1.6039196530578105e-08,6.324771527827303,0.10144425354582687,1,8,hbo,True,S1_D8 hbo,mild_master_34,0.11844044455521044,
19,az_itd=0_az=15,8.0,1.463269745630042e-15,0.19602620187256897,2.7046562833026844e-08,1.4106546320795077,0.038153359142238774,2,6,hbo,False,S2_D6 hbo,mild_master_34,0.05318704981241337,
20,az_itd=0_az=5,8.0,1.463269745630042e-15,0.9802014119970066,2.705029825094643e-08,-0.025602626654722002,-0.000692558687017861,2,6,hbo,False,S2_D6 hbo,mild_master_34,0.01109479190222994,
21,az_itd=15_az=0,8.0,1.463269745630042e-15,0.4479046226381769,2.7045949829356604e-08,-0.7980066529550156,-0.02158284789931414,2,6,hbo,False,S2_D6 hbo,mild_master_34,0.028519885981188535,
22,az_itd=5_az=0,8.0,1.463269745630042e-15,0.03300677593250941,2.704491397933911e-08,2.572348378363571,0.06956894061773523,2,6,hbo,True,S2_D6 hbo,mild_master_34,0.037043971013434415,
27,az_itd=0_az=15,8.0,2.6882254959328647e-16,0.0063815702028882015,1.4688554706047304e-08,3.6621283965633635,0.05379137329349026,2,7,hbo,True,S2_D7 hbo,mild_master_34,0.08101503758729452,
28,az_itd=0_az=5,8.0,2.6882254959328647e-16,0.08903642228318343,1.4685257278495957e-08,1.9349600683642,0.028415386427544407,2,7,hbo,False,S2_D7 hbo,mild_master_34,0.019226958096330734,
29,az_itd=15_az=0,8.0,2.6882254959328647e-16,0.0023508258612469244,1.4686484627414897e-08,4.37935268934791,0.06431729595013616,2,7,hbo,True,S2_D7 hbo,mild_master_34,0.10638467640583438,
30,az_itd=5_az=0,8.0,2.6882254959328647e-16,0.2552478870184531,1.4681294757710034e-08,1.2254744047483184,0.01799155095413931,2,7,hbo,False,S2_D7 hbo,mild_master_34,0.058661193396488405,
35,az_itd=0_az=15,8.0,4.478331825760022e-16,0.06147960167361395,1.8958516554728183e-08,2.1735274004275786,0.041206855203161565,2,8,hbo,False,S2_D8 hbo,mild_master_34,0.09741125424052588,
36,az_itd=0_az=5,8.0,4.478331825760022e-16,0.7220852243088194,1.8954260565213127e-08,-0.36846639316452706,-0.006984008025564711,2,8,hbo,False,S2_D8 hbo,mild_master_34,-0.017444088590436932,
37,az_itd=15_az=0,8.0,4.478331825760022e-16,0.057788593715857865,1.895584470437888e-08,2.213236149392376,0.04195376074199938,2,8,hbo,False,S2_D8 hbo,mild_master_34,0.062461389434256706,
38,az_itd=5_az=0,8.0,4.478331825760022e-16,0.0014572354202898846,1.8949146139905683e-08,4.74357647012722,0.08988672375825862,2,8,hbo,True,S2_D8 hbo,mild_master_34,0.0848605316896107,
43,az_itd=0_az=15,8.0,2.0002818713521233e-15,0.518185560845648,3.541165616549086e-08,-0.6758609118975519,-0.023933354227811215,3,5,hbo,False,S3_D5 hbo,mild_master_34,0.0061766428535532875,
44,az_itd=0_az=5,8.0,2.0002818713521233e-15,0.7105259002190614,3.541036867681643e-08,-0.38464231201522775,-0.013620326077162273,3,5,hbo,False,S3_D5 hbo,mild_master_34,-0.050627972074288846,
45,az_itd=15_az=0,8.0,2.0002818713521233e-15,0.4945381885337774,3.5408988353217695e-08,-0.7156911786960921,-0.025341900610950572,3,5,hbo,False,S3_D5 hbo,mild_master_34,0.004792016429643248,
46,az_itd=5_az=0,8.0,2.0002818713521233e-15,0.09258687390132847,3.5403295198320576e-08,1.909609693068497,0.06760647567727836,3,5,hbo,False,S3_D5 hbo,mild_master_34,0.07730766166003027,
51,az_itd=0_az=15,8.0,1.2387582601118224e-16,0.5343409345765671,9.26164708072302e-09,0.6492948939547047,0.006013540159123953,3,6,hbo,False,S3_D6 hbo,mild_master_34,0.007328808782583517,
52,az_itd=0_az=5,8.0,1.2387582601118224e-16,0.6062905940523888,9.260622153982467e-09,0.5363717133657089,0.004967135771564017,3,6,hbo,False,S3_D6 hbo,mild_master_34,0.007973061890080837,
53,az_itd=15_az=0,8.0,1.2387582601118224e-16,0.9196857249965726,9.26071203519289e-09,-0.10405676338634208,-0.0009636397210351171,3,6,hbo,False,S3_D6 hbo,mild_master_34,0.028667479857706492,
54,az_itd=5_az=0,8.0,1.2387582601118224e-16,0.6755416058314869,9.258592194048829e-09,0.4343066730501339,0.004021068372925286,3,6,hbo,False,S3_D6 hbo,mild_master_34,0.03118651584419516,
59,az_itd=0_az=15,8.0,1.445101980519025e-16,0.08561184637490037,9.518091760805598e-09,1.9603490279292748,0.018658781931036893,3,7,hbo,False,S3_D7 hbo,mild_master_34,0.00998663623547366,
60,az_itd=0_az=5,8.0,1.445101980519025e-16,0.15560861506920334,9.517745704261762e-09,1.5676084668898227,0.014920098751704976,3,7,hbo,False,S3_D7 hbo,mild_master_34,0.004837391503129144,
