,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
752,4,8.0,7.159757024967677e-16,2.149836172997329e-05,1.3110334031277787e-07,-8.819711265766514,-1.1562936075362282,1,7,hbo,True,S1_D7 hbo,mild_master_28,,
753,Linear,8.0,7.159757024967677e-16,0.679572746420852,1.8734277411110286e-12,-0.42852608613173193,-8.028126575489207e-07,1,7,hbo,False,S1_D7 hbo,mild_master_28,,
754,ShortHbO,8.0,7.159757024967677e-16,4.860842347568367e-13,0.004609483075657775,83.19314480571421,383477.3929926862,1,7,hbo,True,S1_D7 hbo,mild_master_28,,
755,az_itd=0_az=15,8.0,7.159757024967677e-16,9.10619444829078e-07,2.3965905121526646e-08,13.419536575626754,0.3216113403463274,1,7,hbo,True,S1_D7 hbo,mild_master_28,0.32221288817261834,
756,az_itd=0_az=5,8.0,7.159757024967677e-16,5.014883583678339e-05,2.3984612664331085e-08,7.847394115928277,0.1882167082948906,1,7,hbo,True,S1_D7 hbo,mild_master_28,0.2546932315366722,
757,az_itd=15_az=0,8.0,7.159757024967677e-16,0.0013875724227128661,2.393035188288519e-08,4.781742270586025,0.11442877514838999,1,7,hbo,True,S1_D7 hbo,mild_master_28,0.19923857018737867,
758,az_itd=5_az=0,8.0,7.159757024967677e-16,2.7058568857530445e-05,2.3951477252487267e-08,8.546421297292136,0.2046994152922653,1,7,hbo,True,S1_D7 hbo,mild_master_28,0.26446949661606917,
759,constant,8.0,7.159757024967677e-16,0.33534153714917814,2.1190546827924266e-08,-1.0250305687452141,-0.021720958267049305,1,7,hbo,False,S1_D7 hbo,mild_master_28,,
768,4,8.0,8.030141406457268e-16,3.0061443128223682e-05,1.4176368406131766e-07,-8.423740049095457,-1.1941804229346367,1,8,hbo,True,S1_D8 hbo,mild_master_28,,
769,Linear,8.0,8.030141406457268e-16,0.9686203759268492,3.1850323954732925e-12,-0.040586236219421305,-1.2926847716918832e-07,1,8,hbo,False,S1_D8 hbo,mild_master_28,,
770,ShortHbO,8.0,8.030141406457268e-16,4.667781572002469e-13,0.004882632882835516,83.61610719653824,408266.75453251705,1,8,hbo,True,S1_D8 hbo,mild_master_28,,
771,az_itd=0_az=15,8.0,8.030141406457268e-16,3.345227888313927e-05,2.58827352990472e-08,8.300630408434122,0.21484301967672242,1,8,hbo,True,S1_D8 hbo,mild_master_28,0.3334552772572408,
772,az_itd=0_az=5,8.0,8.030141406457268e-16,0.004502250516761006,2.590309657577703e-08,3.9066497448340844,0.10119432562817199,1,8,hbo,True,S1_D8 hbo,mild_master_28,0.22828176150983714,
773,az_itd=15_az=0,8.0,8.030141406457268e-16,0.2515793265180934,2.5842279943492577e-08,1.2358239827004973,0.03193650932182818,1,8,hbo,False,S1_D8 hbo,mild_master_28,0.2124694754119272,
774,az_itd=5_az=0,8.0,8.030141406457268e-16,0.0013389817488877642,2.586709780583585e-08,4.809619670013668,0.12441090241311549,1,8,hbo,True,S1_D8 hbo,mild_master_28,0.2861768134565481,
775,constant,8.0,8.030141406457268e-16,0.5783395641466653,2.6459190110844425e-08,-0.5792849578982406,-0.015327410829382057,1,8,hbo,False,S1_D8 hbo,mild_master_28,,
1088,4,8.0,2.7310783990463516e-16,0.005510971926893826,8.097140935841191e-08,-3.7642208468163543,-0.304794267103035,2,6,hbo,True,S2_D6 hbo,mild_master_28,,
1089,Linear,8.0,2.7310783990463516e-16,0.2267308699031159,1.157057357707318e-12,-1.3094658652727404,-1.5151271140804038e-06,2,6,hbo,False,S2_D6 hbo,mild_master_28,,
1090,ShortHbO,8.0,2.7310783990463516e-16,1.0083943612001155e-14,0.0028468865870184103,135.0867626116133,384576.692562742,2,6,hbo,True,S2_D6 hbo,mild_master_28,,
1091,az_itd=0_az=15,8.0,2.7310783990463516e-16,3.062403604746916e-06,1.4801706116795718e-08,11.450206527562537,0.16948259199759666,2,6,hbo,True,S2_D6 hbo,mild_master_28,0.08556507202770786,
