,Unnamed: 0,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
2,450,az_itd=0_az=15,7.0,7.673903224094568e-16,0.8360939529757913,2.5090347616532124e-08,-0.2147373547368586,-0.0053878348766023,1,7,hbo,False,S1_D7 hbo,mild_master_1,0.0858465942104052,
3,451,az_itd=0_az=5,7.0,7.673903224094568e-16,0.396449664262942,2.4700083456680493e-08,-0.9031719837879756,-0.0223084233752986,1,7,hbo,False,S1_D7 hbo,mild_master_1,0.0419486899936653,
4,452,az_itd=15_az=0,7.0,7.673903224094568e-16,0.516597649243506,2.509408495519385e-08,-0.682948324530803,-0.0171379632757832,1,7,hbo,False,S1_D7 hbo,mild_master_1,-0.0139237171337745,
5,453,az_itd=5_az=0,7.0,7.673903224094568e-16,0.0064183270195458,2.5110509066766632e-08,3.8347235129078223,0.096291859539415,1,7,hbo,True,S1_D7 hbo,mild_master_1,0.1110772486101624,
9,464,az_itd=0_az=15,7.0,4.900909825484723e-16,0.014064364942868,2.0051038700260336e-08,-3.249635747762375,-0.0651585721401328,1,8,hbo,True,S1_D8 hbo,mild_master_1,0.1539759591164468,
10,465,az_itd=0_az=5,7.0,4.900909825484723e-16,0.0041167845575636,1.9739157737425308e-08,-4.18398146372585,-0.0825882700829481,1,8,hbo,True,S1_D8 hbo,mild_master_1,0.0824933394704752,
11,466,az_itd=15_az=0,7.0,4.900909825484723e-16,0.6855256433694109,2.0054025407470917e-08,0.4222264815257193,0.0084673405882238,1,8,hbo,False,S1_D8 hbo,mild_master_1,0.0056459789341788,
12,467,az_itd=5_az=0,7.0,4.900909825484723e-16,0.1923875915415753,2.006715079344788e-08,-1.4424360301404384,-0.0289455813267305,1,8,hbo,False,S1_D8 hbo,mild_master_1,0.1537834800387237,
16,688,az_itd=0_az=15,7.0,4.282498439277499e-13,0.7939629176534722,3.2025095137871905e-07,0.2713323502606918,0.0868944433108104,2,6,hbo,False,S2_D6 hbo,mild_master_1,0.205992216024345,
17,689,az_itd=0_az=5,7.0,4.282498439277499e-13,0.1042512572504899,3.1510308363704535e-07,-1.8662443040442056,-0.5880593350244008,2,6,hbo,False,S2_D6 hbo,mild_master_1,-0.2569954709828137,
18,690,az_itd=15_az=0,7.0,4.282498439277499e-13,0.919258222344145,3.202749096838816e-07,0.1050822769748461,0.0336552167674955,2,6,hbo,False,S2_D6 hbo,mild_master_1,0.1026770741778482,
19,691,az_itd=5_az=0,7.0,4.282498439277499e-13,0.6957437194568612,3.202961001638277e-07,0.4076014268965562,0.1305531474561784,2,6,hbo,False,S2_D6 hbo,mild_master_1,0.4101860682726623,
23,702,az_itd=0_az=15,7.0,1.2772565803879657e-12,0.3732010624754647,5.53071011807204e-07,0.9511596307204404,0.5260588193527205,4,2,hbo,False,S4_D2 hbo,mild_master_1,0.0496340299858482,
24,703,az_itd=0_az=5,7.0,1.2772565803879657e-12,0.7250458591264617,5.441806824942702e-07,-0.3661822693204752,-0.1992693172361168,4,2,hbo,False,S4_D2 hbo,mild_master_1,0.3741554386373786,
25,704,az_itd=15_az=0,7.0,1.2772565803879657e-12,0.3247875515445627,5.531123876220778e-07,1.0589547405335755,0.5857209849202438,4,2,hbo,False,S4_D2 hbo,mild_master_1,0.7686455030384705,
26,705,az_itd=5_az=0,7.0,1.2772565803879657e-12,0.6263454794093039,5.53148983423383e-07,0.5090816295932714,0.2815979858890373,4,2,hbo,False,S4_D2 hbo,mild_master_1,1.7655884106674766,
30,716,az_itd=0_az=15,7.0,6.538975577766598e-16,0.9405841234820688,2.3160790436197917e-08,0.0772528956225744,0.0017892381261039,5,1,hbo,False,S5_D1 hbo,mild_master_1,0.0860939759470487,
31,717,az_itd=0_az=5,7.0,6.538975577766598e-16,0.0064589367307474,2.280053929264155e-08,-3.829864904177412,-0.0873229852332059,5,1,hbo,True,S5_D1 hbo,mild_master_1,0.0374007752601439,
32,718,az_itd=15_az=0,7.0,6.538975577766598e-16,0.8612585551141443,2.3164240357213605e-08,0.1813151350015467,0.0042000273675764,5,1,hbo,False,S5_D1 hbo,mild_master_1,0.0063429115590451,
33,719,az_itd=5_az=0,7.0,6.538975577766598e-16,0.4180345417993885,2.3179401382961503e-08,0.8604494916562804,0.0199447041368661,5,1,hbo,False,S5_D1 hbo,mild_master_1,0.1195718559121862,
37,730,az_itd=0_az=15,7.0,4.519444749396176e-14,0.6010441845703107,1.2301884868370684e-07,-0.5475051272448971,-0.0673534504020936,5,3,hbo,False,S5_D3 hbo,mild_master_1,0.0896311962164644,
