,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
2,az_itd=0_az=15,7.0,4.7665570437268055e-17,3.4844677999785187e-06,5.035981754550238e-09,-13.120995664511202,-0.0660770947680112,1,7,hbo,True,S1_D7 hbo,mild_master_1,-0.058060511859857965,
3,az_itd=0_az=5,7.0,4.7665570437268055e-17,3.1758749697829376e-06,4.965752024941469e-09,-13.30223002675038,-0.06605557569157292,1,7,hbo,True,S1_D7 hbo,mild_master_1,-0.04801268247999713,
4,az_itd=15_az=0,7.0,4.7665570437268055e-17,8.197939521363662e-07,5.0367833574215326e-09,-16.232157229746505,-0.0817578593898368,1,7,hbo,True,S1_D7 hbo,mild_master_1,-0.05549159638049491,
5,az_itd=5_az=0,7.0,4.7665570437268055e-17,3.5431976916400577e-07,5.049254628899591e-09,-18.34459846107617,-0.09262654869489316,1,7,hbo,True,S1_D7 hbo,mild_master_1,-0.04452313668748134,
9,az_itd=0_az=15,7.0,4.309130915192236e-17,0.4821514563758901,4.788247546988111e-09,-0.7421485497493597,-0.003553590972838156,1,8,hbo,False,S1_D8 hbo,mild_master_1,0.00873137785179746,
10,az_itd=0_az=5,7.0,4.309130915192236e-17,0.0006925423993386087,4.721472616713397e-09,-5.75822156150583,-0.027187285423618434,1,8,hbo,True,S1_D8 hbo,mild_master_1,-0.03549127261102982,
11,az_itd=15_az=0,7.0,4.309130915192236e-17,0.0019406855766902814,4.789009716743526e-09,-4.811359245315869,-0.023041646176561494,1,8,hbo,True,S1_D8 hbo,mild_master_1,-0.027592257440362304,
12,az_itd=5_az=0,7.0,4.309130915192236e-17,9.961242967526091e-06,4.800867491051123e-09,-11.221379177648943,-0.05387235449873279,1,8,hbo,True,S1_D8 hbo,mild_master_1,0.003357307985059047,
16,az_itd=0_az=15,7.0,1.054314747226037e-15,0.0005717448469154127,2.3684645630789995e-08,-5.947069659752232,-0.14085423743285444,2,6,hbo,True,S2_D6 hbo,mild_master_1,0.0765152818033995,
17,az_itd=0_az=5,7.0,1.054314747226037e-15,6.944122685864469e-07,2.3354349307331916e-08,-16.630728054280475,-0.3883998322149107,2,6,hbo,True,S2_D6 hbo,mild_master_1,-0.5710496354267247,
18,az_itd=15_az=0,7.0,1.054314747226037e-15,0.0017408526129049219,2.368841563649466e-08,4.906162495043608,0.11621921636277466,2,6,hbo,True,S2_D6 hbo,mild_master_1,-0.17286318389437544,
19,az_itd=5_az=0,7.0,1.054314747226037e-15,0.458916580418923,2.3747069074874632e-08,-0.7836840407310215,-0.018610199048116435,2,6,hbo,False,S2_D6 hbo,mild_master_1,0.17598421167390038,
23,az_itd=0_az=15,7.0,3.41056348911861e-15,0.0007499250907408837,4.259855032506348e-08,5.681036735588861,0.24200392927951642,4,2,hbo,True,S4_D2 hbo,mild_master_1,0.07174995471319258,
24,az_itd=0_az=5,7.0,3.41056348911861e-15,0.0014771428604686652,4.20044884684351e-08,-5.051615944415506,-0.21219054368416398,4,2,hbo,True,S4_D2 hbo,mild_master_1,-0.18144551967188358,
25,az_itd=15_az=0,7.0,3.41056348911861e-15,0.8277519573386539,4.260533095333377e-08,0.22587502835122777,0.009623480336997708,4,2,hbo,False,S4_D2 hbo,mild_master_1,0.37816390372827724,
26,az_itd=5_az=0,7.0,3.41056348911861e-15,0.0028665593961036766,4.2710823409734266e-08,4.479918961375063,0.19134102764921046,4,2,hbo,True,S4_D2 hbo,mild_master_1,1.0295599350365272,
30,az_itd=0_az=15,7.0,4.592716426685515e-17,2.8653166465449052e-05,4.943295427943013e-09,-9.565399973311953,-0.0472845979545192,5,1,hbo,True,S5_D1 hbo,mild_master_1,-0.0625900664500529,
31,az_itd=0_az=5,7.0,4.592716426685515e-17,5.0593406129128715e-05,4.8743582637114265e-09,-8.766534552467684,-0.0427312301399326,5,1,hbo,True,S5_D1 hbo,mild_master_1,-0.06353247379729206,
32,az_itd=15_az=0,7.0,4.592716426685515e-17,2.9792404982397503e-05,4.944082277459519e-09,-9.508670445622885,-0.04701164903240721,5,1,hbo,True,S5_D1 hbo,mild_master_1,-0.03870198598849242,
33,az_itd=5_az=0,7.0,4.592716426685515e-17,3.049444860401676e-07,4.956324017458361e-09,-18.749384012166775,-0.09292802229205199,5,1,hbo,True,S5_D1 hbo,mild_master_1,-0.060688920385914655,
37,az_itd=0_az=15,7.0,2.1432396022834997e-16,9.775415479197273e-06,1.0678668708549445e-08,-11.253091510780314,-0.12016803619061314,5,3,hbo,True,S5_D3 hbo,mild_master_1,-0.08371399297864217,
38,az_itd=0_az=5,7.0,2.1432396022834997e-16,2.738059637827694e-06,1.0529748388235452e-08,-13.596993673704173,-0.14317292222053415,5,3,hbo,True,S5_D3 hbo,mild_master_1,-0.08236024585209578,
39,az_itd=15_az=0,7.0,2.1432396022834997e-16,0.07034072114467511,1.0680368486649446e-08,-2.1331646338041543,-0.022782984331716993,5,3,hbo,False,S5_D3 hbo,mild_master_1,0.05643082695489614,
40,az_itd=5_az=0,7.0,2.1432396022834997e-16,2.5702616589648466e-06,1.0706813494391626e-08,-13.724512711248337,-0.1469457979007431,5,3,hbo,True,S5_D3 hbo,mild_master_1,-0.06659914329056381,
44,az_itd=0_az=15,7.0,2.0053343998504988e-16,7.745535179557996e-06,1.0329401354485975e-08,-11.651839723868468,-0.12035652902598044,6,2,hbo,True,S6_D2 hbo,mild_master_1,-0.1612595811011615,
45,az_itd=0_az=5,7.0,2.0053343998504988e-16,9.618830480595288e-05,1.0185351772993638e-08,-7.932816039167252,-0.08079852190936454,6,2,hbo,True,S6_D2 hbo,mild_master_1,-0.013377670494799494,
