,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
532,Linear,7.0,1.0847938989965701e-14,0.6465917432683324,3.4464355948286864e-12,0.4789233410277576,1.6505784497123414e-06,1,7,hbo,False,S1_D7 hbo,mild_master_19,,
533,ShortHbO,7.0,1.0847938989965701e-14,1.9402060463648965e-05,0.011553431848551827,10.149240017218027,117258.55285352345,1,7,hbo,True,S1_D7 hbo,mild_master_19,,
534,az_itd=0_az=15,7.0,1.0847938989965701e-14,0.16112163705034677,7.95242038167079e-08,1.5669014542192345,0.12460659060602641,1,7,hbo,False,S1_D7 hbo,mild_master_19,0.1882208173212071,
535,az_itd=0_az=5,7.0,1.0847938989965701e-14,0.025697261703227257,7.960208000011958e-08,2.822058252344495,0.22464170676812412,1,7,hbo,True,S1_D7 hbo,mild_master_19,0.24739552776238577,
536,az_itd=15_az=0,7.0,1.0847938989965701e-14,0.1601477241847631,7.961853845111307e-08,1.5711236810427696,0.12509057121055805,1,7,hbo,False,S1_D7 hbo,mild_master_19,0.057237223172741034,
537,az_itd=5_az=0,7.0,1.0847938989965701e-14,0.048008360424633426,7.96732851518605e-08,2.392270222301575,0.19060002758173808,1,7,hbo,True,S1_D7 hbo,mild_master_19,0.09102365733962423,
538,constant,7.0,1.0847938989965701e-14,0.3562384452942403,4.414841363225631e-08,-0.9876212065626196,-0.04360190953931458,1,7,hbo,False,S1_D7 hbo,mild_master_19,,
546,Linear,7.0,9.42659457668297e-16,0.18268572720409798,1.7582554331143528e-12,-1.4789557853339035,-2.6003820448992405e-06,1,8,hbo,False,S1_D8 hbo,mild_master_19,,
547,ShortHbO,7.0,9.42659457668297e-16,5.841392847519341e-09,0.003423468370956478,33.1861441711349,113611.714923882,1,8,hbo,True,S1_D8 hbo,mild_master_19,,
548,az_itd=0_az=15,7.0,9.42659457668297e-16,0.00037368183256191145,2.6772914859427316e-08,6.381861286792513,0.1708610288759712,1,8,hbo,True,S1_D8 hbo,mild_master_19,0.15812856130311218,
549,az_itd=0_az=5,7.0,9.42659457668297e-16,2.191289269217341e-05,2.6795905721691358e-08,9.963720612012361,0.2669869181567561,1,8,hbo,True,S1_D8 hbo,mild_master_19,0.20340709643518404,
550,az_itd=15_az=0,7.0,9.42659457668297e-16,0.0003792949222742173,2.681441335004297e-08,6.3662373332229105,0.17070691933751436,1,8,hbo,True,S1_D8 hbo,mild_master_19,0.055992350005060074,
551,az_itd=5_az=0,7.0,9.42659457668297e-16,8.351659234055393e-06,2.683551291796622e-08,11.521376688582599,0.3091820529592132,1,8,hbo,True,S1_D8 hbo,mild_master_19,0.1925559763090582,
552,constant,7.0,9.42659457668297e-16,0.7930322363777418,2.0967972997375803e-08,-0.2725929553847084,-0.005715721727781433,1,8,hbo,False,S1_D8 hbo,mild_master_19,,
812,Linear,7.0,3.341389973408131e-14,0.5424750404322234,3.625452723689186e-12,-0.6401133409931499,-2.3207006555734e-06,2,6,hbo,False,S2_D6 hbo,mild_master_19,,
813,ShortHbO,7.0,3.341389973408131e-14,6.824181582249261e-05,0.019825128469282187,8.36953268752006,165927.06075794177,2,6,hbo,True,S2_D6 hbo,mild_master_19,,
