,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
630,Linear,7.0,1.96232696365205e-17,0.48736608127076264,5.005622062047994e-13,0.7330124097395275,3.669183089947143e-07,1,7,hbo,False,S1_D7 hbo,mild_master_46,,
631,ShortHbO,7.0,1.96232696365205e-17,1.0466933731589749e-14,0.00304912272984171,220.34779368562096,671867.4661972985,1,7,hbo,True,S1_D7 hbo,mild_master_46,,
632,az_itd=0_az=15,7.0,1.96232696365205e-17,0.18312556509882927,3.746124664370793e-09,1.477262619701096,0.005534009935415288,1,7,hbo,False,S1_D7 hbo,mild_master_46,0.021220565796283192,
633,az_itd=0_az=5,7.0,1.96232696365205e-17,1.9450742124646876e-06,3.729909109119309e-09,-14.299969791255077,-0.05333758758453325,1,7,hbo,True,S1_D7 hbo,mild_master_46,-0.08381214031753915,
634,az_itd=15_az=0,7.0,1.96232696365205e-17,1.984559542981144e-05,3.730003349930877e-09,-10.114553526799023,-0.037727318538015524,1,7,hbo,True,S1_D7 hbo,mild_master_46,-0.008618233622989357,
635,az_itd=5_az=0,7.0,1.96232696365205e-17,2.0174529714884563e-05,3.729321410682615e-09,-10.089392445671443,-0.03762658726842194,1,7,hbo,True,S1_D7 hbo,mild_master_46,-0.07932887214247009,
636,constant,7.0,1.96232696365205e-17,0.9151779700809719,4.116198902237852e-09,-0.11041667411451543,-0.00045449699277892307,1,7,hbo,False,S1_D7 hbo,mild_master_46,,
644,Linear,7.0,2.3959584508707726e-17,0.40503084765487873,5.53110638419498e-13,0.885988422519055,4.900496220117984e-07,1,8,hbo,False,S1_D8 hbo,mild_master_46,,
645,ShortHbO,7.0,2.3959584508707726e-17,1.0482383636719219e-14,0.003369216051105819,220.30136284092777,742242.887764141,1,8,hbo,True,S1_D8 hbo,mild_master_46,,
646,az_itd=0_az=15,7.0,2.3959584508707726e-17,0.39259750757890344,4.13938842969981e-09,-0.9109752365288672,-0.0037708803538306413,1,8,hbo,False,S1_D8 hbo,mild_master_46,0.04016020471963735,
647,az_itd=0_az=5,7.0,2.3959584508707726e-17,6.84158926553609e-07,4.121470584512342e-09,-16.666900582041237,-0.06869214048387459,1,8,hbo,True,S1_D8 hbo,mild_master_46,-0.0624861358017673,
648,az_itd=15_az=0,7.0,2.3959584508707726e-17,5.7253515787750374e-06,4.121574718613569e-09,-12.18884264069395,-0.050237225677043244,1,8,hbo,True,S1_D8 hbo,mild_master_46,-0.004503097470472706,
649,az_itd=5_az=0,7.0,2.3959584508707726e-17,0.0007033340653714172,4.120821190184347e-09,-5.7431725117258345,-0.023666586985204078,1,8,hbo,True,S1_D8 hbo,mild_master_46,-0.04979917745851626,
650,constant,7.0,2.3959584508707726e-17,0.9522695666210054,4.5483126261971996e-09,-0.06203438623633219,-0.0002821517821771035,1,8,hbo,False,S1_D8 hbo,mild_master_46,,
924,Linear,7.0,1.3268611325110659e-17,0.15316644381719074,4.1160923170884993e-13,-1.6021050861174284,-6.594412436136355e-07,2,6,hbo,False,S2_D6 hbo,mild_master_46,,
925,ShortHbO,7.0,1.3268611325110659e-17,1.8933610359926217e-13,0.002507274917400874,145.6942205560821,365295.4648105354,2,6,hbo,True,S2_D6 hbo,mild_master_46,,
926,az_itd=0_az=15,7.0,1.3268611325110659e-17,0.01066976800340372,3.0804153327476116e-09,3.4514899457366406,0.010632022549671369,2,6,hbo,True,S2_D6 hbo,mild_master_46,0.0039479159380096,
927,az_itd=0_az=5,7.0,1.3268611325110659e-17,0.012291085085115647,3.067081381130686e-09,3.3475992508257426,0.01026735933369467,2,6,hbo,True,S2_D6 hbo,mild_master_46,0.004920014989424047,
928,az_itd=15_az=0,7.0,1.3268611325110659e-17,0.01433675577976476,3.067158874771965e-09,3.2357693469040316,0.009924618669071785,2,6,hbo,True,S2_D6 hbo,mild_master_46,0.03610055463799194,
929,az_itd=5_az=0,7.0,1.3268611325110659e-17,3.558628969613681e-06,3.0665981203111403e-09,13.080157919423849,0.04011158768907805,2,6,hbo,True,S2_D6 hbo,mild_master_46,0.04940339889918114,
930,constant,7.0,1.3268611325110659e-17,0.5072903781187454,3.3847251085067815e-09,0.6986850104034934,0.002364856697650026,2,6,hbo,False,S2_D6 hbo,mild_master_46,,
938,Linear,7.0,1.1317447372284011e-17,0.9208845435972878,3.8014266256061133e-13,-0.10295703454614295,-3.9138361241715624e-08,2,7,hbo,False,S2_D7 hbo,mild_master_46,,
939,ShortHbO,7.0,1.1317447372284011e-17,8.150195727142111e-15,0.0023155995770920705,228.36642843401663,528805.2051038354,2,7,hbo,True,S2_D7 hbo,mild_master_46,,
940,az_itd=0_az=15,7.0,1.1317447372284011e-17,8.300282351511988e-05,2.8449247397140707e-09,-8.11801356766255,-0.02309513763597767,2,7,hbo,True,S2_D7 hbo,mild_master_46,-0.003451069112027211,
941,az_itd=0_az=5,7.0,1.1317447372284011e-17,0.10002104091271698,2.832610137708988e-09,-1.894435505997451,-0.005366197219524236,2,7,hbo,False,S2_D7 hbo,mild_master_46,-0.016619529886070915,
942,az_itd=15_az=0,7.0,1.1317447372284011e-17,0.00014028387808498043,2.832681707141493e-09,-7.474512534329269,-0.02117291492579432,2,7,hbo,True,S2_D7 hbo,mild_master_46,0.041216687817174746,
943,az_itd=5_az=0,7.0,1.1317447372284011e-17,0.7524621699620193,2.832163821055956e-09,0.32805809586990325,0.0009291142703272464,2,7,hbo,False,S2_D7 hbo,mild_master_46,0.010842818347531239,
944,constant,7.0,1.1317447372284011e-17,0.7431965947150699,3.125970740359022e-09,0.34087954326749975,0.0010655794782411514,2,7,hbo,False,S2_D7 hbo,mild_master_46,,
952,Linear,7.0,1.3831855456109804e-17,0.16938369994183253,4.202547118062476e-13,1.531999890860189,6.438301726206515e-07,2,8,hbo,False,S2_D8 hbo,mild_master_46,,
953,ShortHbO,7.0,1.3831855456109804e-17,8.747446260008658e-15,0.002559937962170546,226.07061958021546,578726.7611948095,2,8,hbo,True,S2_D8 hbo,mild_master_46,,
954,az_itd=0_az=15,7.0,1.3831855456109804e-17,2.6454457321107806e-05,3.1451166742127265e-09,-9.682490285370102,-0.03045256164442025,2,8,hbo,True,S2_D8 hbo,mild_master_46,-0.0021941807073833303,
955,az_itd=0_az=5,7.0,1.3831855456109804e-17,4.5388234799337957e-07,3.1315026549869063e-09,-17.69498638563742,-0.05541189684658074,2,8,hbo,True,S2_D8 hbo,mild_master_46,-0.09221546353179673,
956,az_itd=15_az=0,7.0,1.3831855456109804e-17,1.4888783456793642e-07,3.1315817763121188e-09,-20.805435097116934,-0.06515392139837595,2,8,hbo,True,S2_D8 hbo,mild_master_46,-0.012612258546359863,
957,az_itd=5_az=0,7.0,1.3831855456109804e-17,3.3854132774137624e-07,3.1310092437103847e-09,-18.466571252892354,-0.057819005292442424,2,8,hbo,True,S2_D8 hbo,mild_master_46,-0.05793958020593707,
958,constant,7.0,1.3831855456109804e-17,0.7881280035790494,3.4558182019227627e-09,0.27924388106297826,0.0009650160869529952,2,8,hbo,False,S2_D8 hbo,mild_master_46,,
966,Linear,7.0,1.50594177070578e-17,0.16908070850262272,4.385069290220007e-13,-1.5332518984641652,-6.723415814126735e-07,3,5,hbo,False,S3_D5 hbo,mild_master_46,,
967,ShortHbO,7.0,1.50594177070578e-17,4.527134749284871e-14,0.0026711194490920557,178.74608619403023,477452.1472819591,3,5,hbo,True,S3_D5 hbo,mild_master_46,,
968,az_itd=0_az=15,7.0,1.50594177070578e-17,0.052263449884309345,3.281713245515617e-09,2.3345390203550362,0.0076612876252721744,3,5,hbo,False,S3_D5 hbo,mild_master_46,0.036261375115537516,
969,az_itd=0_az=5,7.0,1.50594177070578e-17,0.5916855082113356,3.267507951453112e-09,-0.5619419206568358,-0.001836149694001045,3,5,hbo,False,S3_D5 hbo,mild_master_46,0.02884093872849727,
970,az_itd=15_az=0,7.0,1.50594177070578e-17,0.8505836210240134,3.2675905091219836e-09,0.19546242819174517,0.0006386911752492838,3,5,hbo,False,S3_D5 hbo,mild_master_46,0.05955070083454736,
971,az_itd=5_az=0,7.0,1.50594177070578e-17,1.762097701997397e-05,3.2669931106731423e-09,10.298192986951909,0.033644125540754355,3,5,hbo,True,S3_D5 hbo,mild_master_46,0.08414440396042612,
972,constant,7.0,1.50594177070578e-17,0.3355989867438844,3.6059089509557634e-09,1.033843791866465,0.0037279465829813327,3,5,hbo,False,S3_D5 hbo,mild_master_46,,
980,Linear,7.0,3.14040762911002e-17,0.10296935409586874,6.332356870736902e-13,-1.8746680701596035,-1.1871067234426255e-06,3,6,hbo,False,S3_D6 hbo,mild_master_46,,
981,ShortHbO,7.0,3.14040762911002e-17,1.7681347740840765e-14,0.0038572894694597674,204.44487348300626,788603.0575710345,3,6,hbo,True,S3_D6 hbo,mild_master_46,,
