,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
3300,4,75.0,1.3125904142986212e-16,1.4496167414299805e-10,6.370023234711675e-08,-7.428384985427088,-0.47318984953553894,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3301,Linear,75.0,1.3125904142986212e-16,0.0017651427941855003,5.9985751967613e-10,3.243287328581198,0.001945510292519739,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3302,az_itd=0_az=15,75.0,1.3125904142986212e-16,0.0010264858619941225,1.1635357016693783e-08,3.4168006061106957,0.03975569490695366,1,7,hbo,True,S1_D7 hbo,mild_master_8,-0.009763754260459253,
3303,az_itd=0_az=5,75.0,1.3125904142986212e-16,0.5678527471248329,1.162753783595406e-08,0.5737512780646039,0.006671314694123181,1,7,hbo,False,S1_D7 hbo,mild_master_8,0.0149405473795071,
3304,az_itd=15_az=0,75.0,1.3125904142986212e-16,0.5084637781992014,1.1628543296177515e-08,-0.6644128275840696,-0.007726153332097079,1,7,hbo,False,S1_D7 hbo,mild_master_8,0.012636473840246859,
3305,az_itd=5_az=0,75.0,1.3125904142986212e-16,9.06280129562741e-06,1.163493326268334e-08,-4.764077768438818,-0.055429726894019024,1,7,hbo,True,S1_D7 hbo,mild_master_8,-0.044675006033565945,
3306,constant,75.0,1.3125904142986212e-16,0.0017646688930327114,6.9806115594878866e-06,-3.24337468291438,-22.64073880330248,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3307,drift_1,75.0,1.3125904142986212e-16,0.0017591917710640574,0.0006105574827003887,3.244385881778644,1980.88407688745,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3308,drift_10,75.0,1.3125904142986212e-16,0.2541031150251924,9.917567143586175e-07,1.1492539445469205,1.1397803160075348,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3309,drift_11,75.0,1.3125904142986212e-16,0.0010617169224710055,5.236233019954502e-06,3.40615808432401,17.835437432322355,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3310,drift_12,75.0,1.3125904142986212e-16,0.23503359713932417,9.88791206781363e-07,1.1971105782011315,1.183692413270232,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3311,drift_13,75.0,1.3125904142986212e-16,0.001312728765052672,3.83715958058993e-06,3.338758332922306,12.811348524447292,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3312,drift_14,75.0,1.3125904142986212e-16,0.2610329875567496,9.85348534238073e-07,1.1324975312040941,1.1159047824001906,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3313,drift_15,75.0,1.3125904142986212e-16,0.0012098561784335432,2.9754405427194954e-06,3.364773621995197,10.011683851957631,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3314,drift_16,75.0,1.3125904142986212e-16,0.5211496551530466,9.814104045048739e-07,0.6446054875937047,0.6326225323253992,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3315,drift_17,75.0,1.3125904142986212e-16,0.0023982412768293725,2.414163328665981e-06,3.142594325896565,7.586735978453276,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3316,drift_18,75.0,1.3125904142986212e-16,0.23578418305752427,9.769839277673695e-07,1.1951751805683526,1.167666942281744,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3317,drift_19,75.0,1.3125904142986212e-16,0.0013642111826543972,2.033190543433757e-06,3.326451806587314,6.763310356341464,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3318,drift_2,75.0,1.3125904142986212e-16,0.2699568720034459,9.985563403859833e-07,1.1113754242759222,1.1097709764598844,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3319,drift_20,75.0,1.3125904142986212e-16,0.09934585506875528,9.724585730284863e-07,1.6687036435864764,1.6227451640495405,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3320,drift_21,75.0,1.3125904142986212e-16,0.007460019226232963,1.766468835236796e-06,2.7502323405842315,4.8581997193023945,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3321,drift_22,75.0,1.3125904142986212e-16,0.3929062874799232,9.67199508004456e-07,0.8593127551449394,0.831126873998139,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3322,drift_23,75.0,1.3125904142986212e-16,0.002897961016347208,1.575023298835136e-06,3.0793924729868745,4.850114891211875,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3323,drift_24,75.0,1.3125904142986212e-16,0.9401356270175283,9.61322922780658e-07,-0.075351563760023,-0.07243718550987842,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3324,drift_25,75.0,1.3125904142986212e-16,0.013368059243760614,1.4340213922474787e-06,2.5338632472503866,3.6336141015867165,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3325,drift_26,75.0,1.3125904142986212e-16,0.7076924314385377,9.552973627842487e-07,0.3763862829756858,0.35956082351483865,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3326,drift_27,75.0,1.3125904142986212e-16,0.005410270463066463,1.3283741962741128e-06,2.864781503407168,3.8055018270894414,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3327,drift_28,75.0,1.3125904142986212e-16,0.5510749000936126,9.495901707874278e-07,0.5988538456197043,0.5686657255387231,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3328,drift_29,75.0,1.3125904142986212e-16,0.04070191994821469,1.2471683231316326e-06,2.0825536391404107,2.597294929958425,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3329,drift_3,75.0,1.3125904142986212e-16,0.0017201184323606374,6.793439919236255e-05,3.251686554902364,220.9013724691753,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3330,drift_30,75.0,1.3125904142986212e-16,0.711425358931151,9.423521798879673e-07,0.3713479638286768,0.34994056321091166,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3331,drift_31,75.0,1.3125904142986212e-16,0.06314333700878538,1.1843175439563513e-06,1.88617152948109,2.233826033275439,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3332,drift_32,75.0,1.3125904142986212e-16,0.09194882400434502,9.352178788357928e-07,1.7070559193355317,1.5964692159350602,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3333,drift_33,75.0,1.3125904142986212e-16,0.014369275020179605,1.1336429986690645e-06,2.5062345831086508,2.8411752881634036,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3334,drift_34,75.0,1.3125904142986212e-16,0.6749946961454887,9.280163333793563e-07,-0.4209510245569307,-0.39064942634160615,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3335,drift_35,75.0,1.3125904142986212e-16,0.18899079406140096,1.0918210194020099e-06,1.325615474760052,1.447334838987599,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3336,drift_36,75.0,1.3125904142986212e-16,0.5385420148981486,9.203713171288159e-07,-0.6178558396706589,-0.5686567929534149,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3337,drift_37,75.0,1.3125904142986212e-16,0.5113475274307059,1.0577191621047467e-06,0.6598873918866635,0.6979755392298483,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3338,drift_38,75.0,1.3125904142986212e-16,0.18472465558863882,9.126388653737777e-07,-1.3386614902179625,-1.2217145035520915,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3339,drift_39,75.0,1.3125904142986212e-16,0.7384680738408389,1.028322675332224e-06,-0.3351226813485843,-0.34461425224888464,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3340,drift_4,75.0,1.3125904142986212e-16,0.32164633902166084,9.975588894479443e-07,0.9976722413543769,0.9952368131185138,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3341,drift_40,75.0,1.3125904142986212e-16,0.4517143018115396,9.045636957258431e-07,-0.7565083834407833,-0.6843100191727781,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3342,drift_41,75.0,1.3125904142986212e-16,0.0009198919093201441,1.0028047848787068e-06,3.4512399085790215,3.4609198940873935,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3343,drift_42,75.0,1.3125904142986212e-16,0.4200557619990125,8.964407422902108e-07,-0.8107829146987189,-0.7268188378887404,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3344,drift_43,75.0,1.3125904142986212e-16,0.21906789512399344,9.814172075949984e-07,1.2393833473682996,1.2163521439139384,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3345,drift_44,75.0,1.3125904142986212e-16,0.8956491043093817,8.8883472394149e-07,0.13160504026404365,0.11697512963239991,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3346,drift_45,75.0,1.3125904142986212e-16,0.19603646560404744,9.616139442582796e-07,1.3045460621039526,1.2544696842463885,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3347,drift_46,75.0,1.3125904142986212e-16,0.06297269739372383,8.793501511133909e-07,1.887421545609817,1.6597044213466623,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3348,drift_47,75.0,1.3125904142986212e-16,0.14874944823482042,9.426800352695275e-07,-1.4589681752687143,-1.3753401709194297,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3349,drift_48,75.0,1.3125904142986212e-16,0.10627890254038383,8.707314453220757e-07,1.634813137230491,1.4234832058122224,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3350,drift_49,75.0,1.3125904142986212e-16,0.8733226957265461,9.258292517792976e-07,0.159985371865797,0.14811913713014355,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3351,drift_5,75.0,1.3125904142986212e-16,0.0016425379677185263,2.4536616684940598e-05,3.266655190484775,80.15266625079654,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3352,drift_50,75.0,1.3125904142986212e-16,0.14654683589414116,8.623155244715833e-07,-1.467037236306271,-1.2650489838447843,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3353,drift_51,75.0,1.3125904142986212e-16,0.49175224891608793,9.102054544278204e-07,0.6909144246097563,0.6288740778226594,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
3354,drift_52,75.0,1.3125904142986212e-16,0.03590830042396297,8.535286595235216e-07,-2.1364083356470287,-1.8234857429196862,1,7,hbo,True,S1_D7 hbo,mild_master_8,,
3355,drift_53,75.0,1.3125904142986212e-16,0.772577878132748,8.956374894376756e-07,-0.2900506992539549,-0.25978028008945436,1,7,hbo,False,S1_D7 hbo,mild_master_8,,
